title,release_date,genre,score
Sam & Max: Season Two -- Episode #1: Ice Station Santa,2007-11-08,Adventure,8.0
Empire Earth III,2007-11-16,Strategy,5.4
Guitar Hero III: Legends of Rock,2007-11-13,Music,8.5
Beowulf: The Game,2007-11-16,Action,4.0
BlackSite: Area 51,2007-11-15,Shooter,6.5
Unreal Tournament III,2007-11-21,Shooter,9.0
Cabela's Big Game Hunter: Trophy Bucks,2007-11-20,Hunting,4.8
SimCity Societies,2007-11-13,Simulation,5.8
Need for Speed ProStreet,2007-11-20,Racing,6.9
Tabula Rasa,2007-11-20,RPG,7.5
Viva Piñata,2007-11-13,Virtual Pet,8.2
Soldier of Fortune: Payback,2007-11-27,Shooter,5.9
World Series of Poker 2008: Battle for the Bracelets,2007-12-03,Card,7.9
Dawn of Magic,2007-11-30,"Action, RPG",5.4
Swashbucklers: Blue vs. Grey,2007-11-28,"Action, Adventure",4.0
Alvin and the Chipmunks,2008-01-03,Music,2.2
The History Channel: Battle For The Pacific,2007-12-21,Shooter,4.9
Sam & Max: Season Two -- Episode #2: Moai Better Blues,2008-01-08,Adventure,8.2
The Golden Compass,2008-01-07,Action,3.5
Next Life,2007-12-12,Adventure,4.5
Hot Wheels: Beat That!,2007-12-11,Racing,3.5
Taito Legends 2,2008-01-29,Compilation,7.5
Barbie as The Island Princess,2008-01-31,Party,4.0
Battlestar Galactica,2008-01-30,Action,5.1
Carol Vorderman's Sudoku,2008-01-29,Puzzle,7.8
Universe at War: Earth Assault,2007-12-14,Strategy,8.0
Savage 2: A Tortured Soul,2008-02-07,Shooter,8.3
Out of This World,2008-02-06,Action,8.5
The Sims 2: Castaway Stories,2008-02-04,Simulation,7.3
Pirates of the Burning Sea,2008-02-12,RPG,8.2
Under a Killing Moon,2008-02-11,Adventure,9.0
Petz: Catz 2,2008-02-13,Virtual Pet,6.0
Sam & Max: Season Two -- Episode #3: Night of the Raving Dead,2008-02-27,Adventure,6.8
The Spiderwick Chronicles,2008-02-20,Adventure,7.5
Turning Point: Fall of Liberty,2008-02-29,Shooter,5.0
The Sims 2: FreeTime (Limited Edition),2008-02-26,Simulation,8.3
The Sims 2: FreeTime,2008-02-26,Simulation,8.3
The History Channel: Lost Worlds,2008-03-04,"Action, Adventure",3.0
Sam & Max: Season Two -- Episode #4: Chariot of the Dogs,2008-03-13,Adventure,8.3
AGEOD's American Civil War: 1861-1865 -- The Blue and the Gray,2008-03-12,Strategy,6.2
Imperium Romanum,2008-03-24,Strategy,6.0
Panzer Command: Kharkov,2008-04-23,Strategy,6.7
Great War Nations: The Spartans,2008-04-29,Strategy,6.0
Rhem 3,2008-03-28,"Puzzle, Adventure",6.5
Magic Online III,2008-04-21,"Card, Battle",5.5
Warriors Orochi,2008-03-26,Action,5.7
Lost Empire: Immortals,2008-04-11,Strategy,6.0
"Sam & Max: Season Two -- Episode #5: What's New, Beelzebub?",2008-04-10,Adventure,8.2
Riddle of the Tomb,2008-04-23,Adventure,7.7
Powerboat GT,2008-05-16,Racing,6.0
Wolves of the Pacific -- The Silent Hunter: U-Boat Missions,2008-05-16,Simulation,7.0
Everyday Shooter,2008-05-14,Shooter,8.0
My Horse & Me,2008-05-09,Simulation,5.0
Dancing with the Stars: The PC Game,2008-05-08,Music,3.5
Iron Man,2008-05-07,Action,3.5
Stranger,2008-04-29,Strategy,4.4
The Incredible Hulk,2008-06-11,Action,5.5
Kung Fu Panda,2008-06-09,Action,7.4
Space Force Captains,2008-05-30,Strategy,4.0
Belief & Betrayal,2008-06-19,Adventure,5.4
Blokus World Tour,2008-06-10,Board,7.5
The Chronicles of Narnia: Prince Caspian,2008-06-05,"Action, Adventure",6.3
Grid,2008-06-05,Racing,8.7
Stronghold Crusader Extreme,2008-06-10,Strategy,4.8
Europa Universalis III: In Nomine,2008-06-13,Strategy,8.0
Supernova 2: Spacewar,2008-06-27,Strategy,3.0
Happy Tree Friends: False Alarm,2008-06-26,"Puzzle, Action",6.2
Pranksterz: Off Your Boss,2008-07-30,Puzzle,3.5
The Princess Bride Game,2008-07-09,Adventure,4.0
Blitzkrieg 2: Liberation,2008-07-25,Strategy,6.0
Red Baron Arcade,2008-07-25,Flight,5.8
Drive to Survive,2008-07-07,"Racing, Action",4.0
WALL-E,2008-07-07,"Action, Adventure",7.5
Insecticide Episode 1,2008-07-03,"Action, Adventure",7.5
Wings Over Israel,2008-08-11,"Flight, Simulation",8.0
The Immortals of Terra: A Perry Rhodan Adventure,2008-08-05,Adventure,5.8
Beijing 2008: The Official Video Game of the Olympic Games,2008-08-08,Sports,5.6
SimCity Societies Destinations,2008-07-11,Simulation,6.7
American McGee's Grimm: A Boy Learns What Fear Is,2008-08-06,"Action, Adventure",6.0
Sam & Max: Season Two,2008-08-06,"Adventure, Compilation",8.1
1701 A.D. (Gold Edition),2008-08-14,Simulation,8.3
American McGee's Grimm: Little Red Riding Hood,2008-08-14,"Action, Adventure",6.1
Pranksterz: No Rest for the Wicked,2008-08-13,Puzzle,3.0
Galactic Command -- Echo Squad Episode 1: Rise of the Insurgents,2008-08-26,"Flight, Action",6.0
Martians vs. Robots,2008-08-18,Action,3.5
Space Siege,2008-08-12,"Action, RPG",6.4
American McGee's Grimm: The Fisherman and His Wife,2008-08-21,Adventure,6.2
XIII Century: Death or Glory,2008-08-20,Strategy,7.2
Code of Honor 2: Conspiracy Island,2008-08-20,Shooter,3.0
Jewel Quest III,2008-09-04,Puzzle,7.0
Mercenaries 2: World in Flames,2008-09-11,Shooter,7.9
Ancient Quest of Saqqarah,2008-09-03,Puzzle,6.7
The Golden Horde,2008-08-29,Strategy,5.8
American McGee's Grimm:The Girl Without Hands,2008-08-29,Adventure,5.7
The Sims 2: Apartment Life,2008-09-08,Simulation,7.7
Murder in the Abbey,2008-09-10,Adventure,3.5
The Sims 2: Apartment Life (Limited Edition),2008-09-10,Simulation,7.7
American McGee's Grimm: Puss in Boots,2008-08-27,Adventure,6.1
Deadliest Catch: Alaskan Storm,2008-08-27,Hunting,6.5
American McGee's Grimm: Godfather Death,2008-09-04,Adventure,6.3
American McGee's Grimm: Beauty and the Beast,2008-09-19,Adventure,6.3
Prison Tycoon 4: SuperMax,2008-09-18,Simulation,2.5
Nikopol: Secrets of the Immortals,2008-09-17,Adventure,8.2
The Price Is Right (2008),2008-09-25,Trivia,5.0
Imperium Romanum: Emperor Expansion,2008-09-22,Simulation,5.9
American McGee's Grimm: The Devil and His Three Golden Hairs,2008-09-16,Adventure,6.2
Line Rider 2: Unbound,2008-09-16,Puzzle,8.0
4 Elements,2008-09-19,Puzzle,8.0
CellZenith,2008-10-03,Action,5.7
Pure,2008-10-01,Racing,8.4
Kharkov: Disaster on the Donets,2008-10-01,Strategy,7.9
Operation Mania,2008-10-01,Strategy,7.1
Ford Racing Off Road,2008-09-30,Racing,3.5
Dark Horizon,2008-09-29,"Action, Simulation",6.0
So Blonde,2008-10-13,Adventure,6.8
FutureU: The Prep Game for SAT,2008-10-13,"Educational, Productivity",7.0
Pipe Mania,2008-10-17,Puzzle,6.5
Warhammer Online: Age of Reckoning (Collector's Edition),2008-10-09,RPG,9.0
Warhammer Online: Age of Reckoning,2008-10-09,RPG,9.0
Everlight of Magic & Power,2008-10-16,Adventure,6.9
City Life Edition 2008,2008-10-20,Strategy,6.9
FIFA Soccer 09,2008-10-22,Sports,7.2
The Guild 2: Venice,2008-10-31,Simulation,4.5
Are You Smarter Than A 5th Grader? Make the Grade!,2008-11-04,Trivia,3.2
Poker For Dummies,2008-11-03,"Educational, Card",5.3
Quantum of Solace,2008-11-03,Shooter,7.2
Brain Training For Dummies,2008-11-03,"Educational, Puzzle",6.8
The Hardy Boys: The Hidden Theft,2008-11-07,Adventure,6.0
Combat Mission: Shock Force -- Marines,2008-11-10,Strategy,6.7
Sacred 2: Fallen Angel,2008-11-12,RPG,7.5
Deer Hunter Tournament,2008-11-13,Hunting,6.4
MySims,2008-11-21,Simulation,7.0
Dynasty Warriors 6,2008-11-18,Action,3.0
Guitar Hero: Aerosmith (Game & Guitar Controller Bundle),2008-12-01,Music,7.0
History -- Civil War: Secret Missions,2008-11-24,Shooter,5.5
Neverwinter Nights 2: Storm of Zehir,2008-12-01,RPG,8.3
Guitar Hero: Aerosmith,2008-12-01,Music,7.0
World of Warcraft: Wrath of the Lich King (Collector's Edition),2008-11-26,RPG,9.0
Madagascar: Escape 2 Africa,2008-11-17,Platformer,4.3
World of Warcraft: Wrath of the Lich King,2008-11-26,RPG,9.0
Neopets Puzzle Adventure,2008-12-09,Puzzle,7.6
CSI: NY -- The Game,2008-12-04,Adventure,5.8
Hell's Kitchen,2008-12-08,Simulation,5.0
Secret Service,2008-12-08,Shooter,4.5
MotoGP 08,2008-12-02,Racing,5.0
Worldwide Soccer Manager 2009,2008-12-18,"Sports, Simulation",7.9
War Plan Pacific,2008-12-17,Strategy,7.4
Outcry,2008-12-16,Action,6.8
NHL 09,2008-12-11,Sports,5.5
Barbie Horse Adventures: Riding Camp,2008-12-31,Adventure,6.2
Top Chef: The Game,2008-12-22,Strategy,6.5
Shattered Suns,2008-12-22,Strategy,4.3
Puzzlegeddon,2008-12-12,Puzzle,7.9
Hired Guns: The Jagged Edge,2008-12-12,Strategy,5.9
The Tale of Despereaux,2009-01-07,Action,3.0
GTR Evolution,2009-01-05,Racing,8.5
World War One -- La Grande Guerre,2009-01-09,Strategy,5.2
Space War Commander,2009-01-14,Strategy,7.2
PBR: Out of the Chute,2009-01-20,Sports,3.5
MindHabits,2009-01-20,Productivity,4.5
Commander in Chief: Geo-Political Simulator 2009,2009-01-28,Simulation,4.5
Cesar Millan's The Dog Whisperer,2009-01-28,Simulation,3.0
Battlestrike: Force of Resistance,2009-01-27,Shooter,5.0
MLB Front Office Manager,2009-01-27,"Sports, Simulation",6.6
Cartoon Network Universe: FusionFall,2009-01-30,RPG,7.0
Perfect World,2009-01-29,RPG,7.5
Orchard,2009-01-29,Simulation,4.0
ShellShock 2: Blood Trails,2009-03-02,Shooter,4.6
Major League Baseball 2K9,2009-03-09,Sports,6.6
Grey's Anatomy: The Video Game,2009-03-11,Simulation,6.0
The Chronicles of Riddick: Assault on Dark Athena,2009-03-31,Shooter,7.4
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",2009-03-31,Adventure,8.5
Wanted: Weapons of Fate,2009-03-30,Action,7.3
Tom Clancy's HAWX,2009-03-18,"Flight, Action",6.7
Age of Booty,2009-03-17,Strategy,5.5
World in Conflict: Soviet Assault,2009-03-16,Strategy,7.8
World in Conflict (Complete Edition),2009-03-16,Strategy,9.0
Merchants of Brooklyn,2009-03-27,Shooter,5.0
The Last Remnant,2009-03-20,RPG,6.8
The Godfather II,2009-04-07,Action,7.6
Iron Grip: Warlord,2009-04-02,Strategy,4.5
Stormrise,2009-04-03,Strategy,2.1
Monsters vs. Aliens,2009-04-03,Action,5.0
Unreal Tournament III: Titan Pack,2009-04-01,Shooter,8.5
Wheelman,2009-04-14,Action,4.8
The Chronicles of Riddick: Assault on Dark Athena,2009-03-31,Shooter,7.4
Free Realms,2009-05-06,RPG,8.8
Plants vs. Zombies,2009-05-05,Strategy,9.0
The Chronicles of Spellborn,2009-05-05,RPG,7.5
MLB Dugout Heroes,2009-05-05,Sports,7.4
Stalin vs. Martians,2009-05-04,Strategy,2.0
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",2009-05-12,Adventure,7.0
Smashing Toys,2009-05-04,"Racing, Action",3.5
Cryostasis: Sleep of Reason,2009-04-24,Shooter,6.0
Neverwinter Nights 2 Adventure Pack: Mysteries of Westgate,2009-05-08,RPG,7.0
Terminator Salvation,2009-06-08,Shooter,6.3
DCS: Black Shark,2009-05-13,"Flight, Simulation",8.0
Ghostbusters: The Video Game,2009-06-15,Action,7.6
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",2009-06-22,Adventure,7.1
Railworks,2009-06-22,Simulation,7.0
The Humans,2009-06-16,Platformer,6.5
Transformers: Revenge of the Fallen,2009-06-23,Action,6.0
Smash Ball,2009-06-26,Action,7.9
Battlefield Heroes,2009-07-21,Shooter,8.0
Tales of Monkey Island -- Chapter 1: Launch of the Screaming Narwhal,2009-07-07,Adventure,7.9
Harry Potter and the Half-Blood Prince,2009-07-02,Action,7.5
Rise of Flight: The First Great Air War,2009-07-08,"Flight, Simulation",7.9
Fuel,2009-07-08,Racing,5.1
ArmA II,2009-07-02,Shooter,7.8
Ice Age: Dawn of the Dinosaurs,2009-07-08,Platformer,6.5
Dawn of Discovery,2009-07-15,Strategy,8.2
Age of Pirates 2: City of Abandoned Ships,2009-07-14,"Action, Adventure",5.7
Droplitz,2009-07-14,Puzzle,7.5
Bookworm Adventures Volume 2,2009-07-30,Adventure,8.3
Trine,2009-08-06,Platformer,8.2
WarpForce,2009-08-24,RPG,4.0
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",2009-08-20,Adventure,7.2
Tales of Monkey Island -- Chapter 2: The Siege of Spinner Cay,2009-08-25,Adventure,7.9
Raven Squad,2009-09-03,Shooter,2.0
Heroes Over Europe,2009-09-25,"Flight, Action",6.0
Tales of Monkey Island -- Chapter 3: Lair of the Leviathan,2009-09-29,Adventure,8.0
Aion,2009-10-08,RPG,8.5
CrimeCraft,2009-10-09,Action,5.6
Dreamkiller,2009-10-22,Shooter,4.2
Fallen Earth,2009-10-21,RPG,8.1
FIFA Soccer 10,2009-10-21,Sports,7.0
Tales of Monkey Island -- Chapter 4: The Trial and Execution of Guybrush Threepwood,2009-10-30,Adventure,7.2
The Stronghold Collection,2009-11-20,"Strategy, Compilation",7.0
WorldShift,2009-11-20,Strategy,5.0
Tales of Monkey Island -- Chapter 5: Rise of the Pirate God,2009-12-08,Adventure,8.3
Max & the Magic Marker,2010-02-12,Platformer,7.0
Global Agenda,2010-03-12,RPG,8.4
Diner Dash 5: Boom,2010-03-04,Strategy,6.5
Major League Baseball 2K10,2010-03-04,Sports,7.3
BioShock 2,2010-02-09,Shooter,9.1
Napoleon: Total War,2010-02-18,Strategy,8.9
Metro 2033,2010-03-19,Shooter,6.9
A Kingdom for Keflings,2010-03-30,Simulation,8.5
Dawn of Discovery: Venice,2010-04-26,Strategy,6.5
Sam & Max: The Devil's Playhouse -- Episode 1: The Penal Zone,2010-04-05,Adventure,7.2
Toy Story 3: The Video Game,2010-07-06,Action,7.5
Monkey Island 2: LeChuck's Revenge -- Special Edition,2010-07-06,Adventure,8.9
Transformers: War for Cybertron,2010-06-24,Shooter,9.0
Sam & Max: The Devil's Playhouse -- Episode 2: The Tomb of Sammun-Mak,2010-05-21,Adventure,8.0
Blur,2010-06-02,Racing,7.0
APB,2010-07-09,Action,7.7
Rhythm Zone,2010-07-30,Music,5.0
Wedding Dash 4-Ever,2010-08-24,Strategy,7.5
Need for Speed World,2010-08-06,Racing,6.0
City of Heroes: Going Rogue,2010-09-20,RPG,7.0
Sam & Max: The Devil's Playhouse,2010-10-01,"Adventure, Compilation",8.0
Puzzle Quest 2,2010-09-17,"Puzzle, Adventure",8.5
R.U.S.E.,2010-09-24,Strategy,8.5
Darksiders,2010-09-23,Action,8.0
Elemental: War of Magic,2010-09-07,Strategy,6.0
FIFA Soccer 11,2010-10-22,Sports,8.0
Poker Night at the Inventory,2010-11-22,Card,8.0
Cooking Dash 3: Thrills & Spills,2010-11-03,Strategy,8.5
LEGO Universe,2010-10-29,Action,5.0
Guardians of Graxia,2010-11-18,"Card, Battle",5.5
James Bond 007: Blood Stone,2010-11-02,Action,5.0
Cities XL 2011,2010-11-16,Simulation,7.0
Create,2010-12-04,Adventure,6.0
Back to the Future: The Game -- Episode 2: Get Tannen!,2011-02-28,Adventure,8.5
Tron Evolution,2010-12-15,Action,6.0
Back to the Future: The Game -- Episode 1: It's About Time,2010-12-23,Adventure,8.5
World of Warcraft: Cataclysm,2010-12-22,RPG,9.0
Test Drive Unlimited 2,2011-02-16,Racing,5.5
Crasher,2011-02-09,"Action, RPG",5.5
Zeit 2,2011-01-28,Shooter,7.0
Battle: Los Angeles,2011-03-15,Shooter,5.5
The Sims Medieval,2011-03-24,Simulation,8.5
Ghostbusters: Sanctum of Slime,2011-03-23,Shooter,4.5
Dragon Age II,2011-03-08,RPG,8.5
Darkspore,2011-04-26,"Action, RPG",7.0
Back to the Future: The Game -- Episode 3: Citizen Brown,2011-03-30,Adventure,7.5
Your Doodles Are Bugged,2011-05-03,Action,7.5
Battlefield Play4Free,2011-04-15,Shooter,6.0
Fable III,2011-05-17,RPG,6.0
Dirt 3,2011-05-24,Racing,8.5
DCS: A-10C Warthog,2011-06-17,"Flight, Simulation",8.0
Super Street Fighter IV: Arcade Edition,2011-07-07,Fighting,8.5
Back to the Future: The Game,2011-06-28,Adventure,7.5
Back to the Future: The Game -- Episode 4: Double Visions,2011-06-20,Adventure,6.5
Back to the Future: The Game -- Episode 5: Outatime,2011-06-24,Adventure,7.0
Gods & Heroes: Rome Rising,2011-07-12,RPG,4.0
Dragon Age II -- Legacy,2011-08-02,RPG,6.5
World of Tanks,2011-07-21,RPG,7.5
Age of Empires Online,2011-08-24,Strategy,7.0
Black Prophecy,2011-08-11,Action,7.5
Pirates of Black Cove,2011-08-16,"Strategy, RPG",5.5
Hard Reset,2011-09-13,Shooter,7.5
Driver: San Francisco,2011-08-26,"Racing, Action",8.0
The Sims Medieval: Pirates and Nobles,2011-09-21,Simulation,5.5
Blocks That Matter,2011-09-27,Platformer,8.5
Rise of Immortals,2011-09-26,RPG,4.0
Oio,2011-10-10,Platformer,7.5
Dragon Nest,2011-10-07,Adventure,8.5
Battlefield 3,2011-10-24,Shooter,9.0
Dragon Age II -- Mark of the Assassin,2011-10-17,RPG,8.5
Before the Echo,2011-11-03,Music,6.5
Rochard,2011-11-08,Action,8.5
Sonic Generations,2011-11-05,Platformer,8.5
Jurassic Park: The Game,2011-11-18,Adventure,5.5
L.A. Noire The Complete Edition,2011-11-15,Adventure,8.5
Dustforce,2012-01-18,Platformer,8.0
Afterfall: Insanity,2012-01-12,Shooter,4.5
Choplifter HD,2012-01-09,Action,8.0
4 Elements II,2012-02-09,Puzzle,7.5
Microsoft Flight,2012-03-14,"Flight, Simulation",5.0
Gotham City Impostors,2012-02-10,Shooter,7.0
Syndicate,2012-02-21,Action,7.5
UEFA Euro 2012,2012-04-24,Sports,6.5
Tera: Rising,2012-05-25,RPG,6.5
Diablo III,2012-05-14,"Action, RPG",9.5
Sword & Sworcery EP,2012-04-24,Adventure,9.0
Inversion,2012-06-05,Shooter,5.5
The Walking Dead: The Game -- Episode 2: Starved For Help,2012-06-27,Adventure,8.5
The Secret World,2012-07-25,RPG,7.0
Fray,2012-07-03,Action,2.0
Bientot L'ete,2013-02-15,Adventure,7.0
Special Forces: Team X,2013-02-15,Shooter,4.5
Dungeonland,2013-02-14,"Action, Adventure",4.6
The Walking Dead: Survival Instinct,2013-03-21,Shooter,4.5
SimCity,2013-03-13,Simulation,7.0
Dollar Dash,2013-03-08,Action,4.8
Mass Effect 3: Citadel,2013-03-08,RPG,9.1
Aliens: Colonial Marines,2013-02-12,Shooter,5.0
StarCraft II: Heart of the Swarm,2013-03-19,Strategy,8.6
The Showdown Effect,2013-03-18,Action,6.0
Dead Space 3: Awakened,2013-03-15,"Action, Adventure",8.2
Telltale Games' Poker Night 2,2013-04-30,Card,7.5
Resident Evil Revelations,2013-05-20,"Action, Adventure",7.5
God Mode,2013-04-23,Shooter,6.7
Assassin's Creed III -- The Tyranny of King Washington,2013-04-23,"Action, Adventure",6.8
Dead Island Riptide,2013-04-22,Action,7.2
Age of Wushu,2013-05-07,RPG,7.0
Legends of Dawn,2013-07-16,RPG,2.8
The Walking Dead: 400 Days,2013-07-02,"Adventure, Episodic",8.9
Leisure Suit Larry Reloaded,2013-07-10,"Adventure, Adult",4.1
Marvel Heroes,2013-06-21,RPG,5.7
Disney Infinity -- PC Game,2013-08-18,Action,8.7
Deadpool,2013-06-25,Action,6.0
Rayman Legends,2013-08-26,Platformer,9.5
Castle of Illusion Starring Mickey Mouse,2013-09-03,Platformer,6.7
Spelunky,2013-08-06,Platformer,9.0
The Raven: Legacy of a Master Thief Chapter I: The Eye of the Sphinx,2013-07-30,Adventure,9.0
The Raven: Legacy of a Master Thief Chapter II: Ancestry of Lies,2013-10-04,Adventure,5.5
MechWarrior Online,2013-09-28,"Action, Simulation",7.3
Guardians of Middle-earth,2013-10-01,Battle,7.9
FIFA 14,2013-09-23,Sports,9.0
Narco Terror,2013-09-19,Shooter,6.5
ArmA III,2013-09-19,Shooter,7.0
Glare,2013-10-18,"Platformer, Action",7.1
Legends of Aethereus,2013-10-11,"Action, RPG",4.7
Battlefield 4,2013-10-29,Shooter,8.5
Need for Speed Rivals,2013-11-20,Racing,8.0
SimCity: Cities of Tomorrow,2013-11-20,Simulation,7.5
Rocksmith 2014,2013-10-22,Music,9.0
The Raven: Legacy of a Master Thief Chapter III: A Murder of Ravens,2013-12-05,Adventure,6.5
KickBeat,2014-01-23,"Music, Action",6.5
Don't Starve,2014-01-14,Adventure,7.5
Young Justice: Legacy,2013-12-11,"Action, RPG",4.8
The Novelist,2013-12-11,Puzzle,6.5
The Walking Dead: Season Two -- Episode 1: All That Remains,2013-12-17,Adventure,8.0
Strider,2014-02-18,Action,7.5
The Walking Dead: A Telltale Game Series -- Season Two,2013-12-17,Adventure,8.0
League of Legends,2014-02-13,Action,9.2
Rekoil,2014-02-03,Shooter,3.0
The Walking Dead: Season Two -- Episode 2: A House Divided,2014-03-04,Adventure,9.5
Rambo: The Video Game,2014-02-21,Shooter,3.0
Hearthstone: Heroes of WarCraft,2014-03-13,"Card, Battle",9.0
Diablo III: Reaper of Souls,2014-03-29,"Action, RPG",9.1
The Amazing Spider-Man 2,2014-05-01,Action,5.4
WildStar,2014-06-26,RPG,8.7
War of the Vikings,2014-04-23,,3.5
Transformers: Rise of the Dark Spark,2014-06-27,Action,4.9
The Walking Dead: Season Two -- Episode 3: In Harm's Way,2014-05-13,Adventure,9.0
The Walking Dead: Season Two -- Episode 4: Amid the Ruins,2014-07-23,Adventure,6.0
Minimum,2014-09-19,Shooter,6.5
Defense Grid 2,2014-10-14,"Strategy, RPG",8.0
The Walking Dead: Season Two -- Episode 5: No Going Back,2014-08-26,Adventure,9.5
Watch Dogs: Bad Blood,2014-10-10,Action,6.8
Project Spark,2014-10-07,"Productivity, Action",8.0
World of Warcraft: Warlords of Draenor,2014-11-13,RPG,9.0
Scrolls,2014-12-23,"Card, Battle",7.4
Chaos Heroes Online,2015-02-04,Action,5.6
Raven's Cry,2015-02-03,Action,3.0
Heroes of the Storm,2015-06-02,Strategy,6.5
Shadowrun Chronicles: Boston Lockdown,2015-05-05,RPG,6.5
Infinite Crisis,2015-04-29,Strategy,6.9
Rise of Incarnates,2015-07-15,Fighting,8.0
Guild Wars 2: Heart of Thorns,2015-11-07,RPG,7.6
Sword Coast Legends,2015-10-28,RPG,5.5
StarCraft II: Legacy of the Void,2015-11-21,Strategy,8.9
Plants vs. Zombies: Garden Warfare 2,2016-02-24,Shooter,8.2
Pillar of Eternity: The White March - Part II,2016-02-24,RPG,8.0
Resident Evil Zero,2016-01-19,"Action, Adventure",6.5
The Walking Dead: Michonne -- Episode 1: In Too Deep,2016-02-23,Adventure,7.0
Mega Man Legacy Collection,2015-08-25,Action,9.0
Gauntlet,2015-08-20,Action,7.1
World of Warcraft: Legion,2016-09-09,RPG,9.1
Dead Star,2016-04-09,Strategy,7.1
HTC Vive,2016-04-07,Hardware,9.3
Lucky's Tale,2016-04-06,Platformer,6.0
Starcraft II: Nova Covert Ops -- Mission Pack 1,2016-04-05,Strategy,6.2
The Walking Dead: Michonne -- Episode 2: Give No Shelter,2016-04-01,Adventure,7.2
Ashes of Singularity,2016-03-31,Strategy,7.7
Oculus Rift,2016-03-31,Hardware,9.0
Adr1ft [VR Edition],2016-03-28,Adventure,7.0
Edge of Nowhere,2016-06-07,Adventure,6.7
Mirror's Edge Catalyst,2016-06-06,"Action, Adventure",6.8
The Walking Dead: Michonne -- Episode 3: What We Deserve,2016-04-27,Adventure,6.3
Overwatch,2016-05-28,Shooter,9.4
Ghostbusters,2016-07-16,Action,4.4
Starcraft II: Nova Covert Ops -- Mission Pack 2,2016-08-04,Strategy,6.4
