title,release_date,genre,score
Battle Engine Aquila,2003-11-18,Shooter,7.2
Secret Weapons Over Normandy,2003-11-18,"Flight, Action",8.0
XIII,2003-11-17,Shooter,8.0
PlanetSide: Core Combat,2003-11-10,Shooter,6.5
Harry Potter: Quidditch World Cup,2003-11-07,"Sports, Action",7.2
Chrome,2003-11-24,Shooter,7.9
Kelly Slater's Pro Surfer,2003-11-24,Sports,8.9
Rugby 2004,2003-11-20,Sports,7.0
Contract J.A.C.K.,2003-11-19,Shooter,6.1
Lords of EverQuest,2003-12-05,Strategy,6.5
NBA Live 2004,2003-12-02,Sports,8.5
Silent Hill 3,2003-12-11,Adventure,9.0
Delta Ops: Army Special Forces,2004-01-26,Shooter,5.0
Sinbad: Legend of the Seven Seas,2004-01-23,"Action, Adventure",5.6
Korea: Forgotten Conflict,2004-01-22,Strategy,5.0
Teenage Mutant Ninja Turtles [2003],2004-01-16,"Fighting, Action",5.3
Traitors Gate 2: Cypher,2004-02-04,Adventure,5.0
JetFighter V: Homeland Protector,2004-02-04,"Flight, Simulation",6.4
Yohoho! Puzzle Pirates,2004-01-12,Puzzle,8.5
Combat Mission 3: Afrika Korps,2004-01-09,Strategy,8.7
Dominions II: The Ascension Wars,2004-02-02,Strategy,6.5
Coliseum,2004-02-02,Simulation,2.5
One Must Fall: Battlegrounds,2004-01-08,Fighting,6.7
Horizons: Empire of Istaria,2004-01-08,RPG,8.2
Blade & Sword,2004-01-07,"Action, RPG",6.0
Dark Age of Camelot: Trials of Atlantis,2004-01-05,RPG,6.8
American Idol: The Search For A Superstar,2004-01-28,Music,3.3
Lock On: Modern Air Combat,2003-12-19,"Flight, Simulation",7.8
Chameleon: Mysterious Journey II,2003-12-18,Adventure,6.8
Atari: 80 Classic Games in One!,2004-01-27,Compilation,7.2
Silent Storm,2004-01-27,"Action, RPG",8.1
Alien Blast: The Encounter,2004-02-23,Shooter,4.3
WWI: The Great War,2004-02-18,Strategy,6.4
Jack the Ripper [2004],2004-02-11,Adventure,7.8
Secret Service: Security Breach,2004-02-09,Shooter,4.4
Shadowbane: The Rise of Chaos,2004-02-06,RPG,6.3
Airport Tycoon 3,2004-02-05,Simulation,4.0
A Quiet Weekend in Capri,2004-03-03,Adventure,6.2
Monster Garage: The Game,2004-02-25,Simulation,3.3
Vega$ Tycoon,2004-02-25,Simulation,7.7
Gangland,2004-03-15,Strategy,5.8
Pirate Hunter: Seize & Destroy,2004-03-12,"Action, Adventure",6.8
MVP Baseball 2004,2004-03-11,Sports,8.5
Tom Clancy's Rainbow Six 3: Athena Sword,2004-03-10,Shooter,7.8
Desert Rats vs. Afrika Korps,2004-04-07,Strategy,7.2
Dead Man's Hand,2004-04-06,Shooter,6.2
Bionicle: The Game,2004-03-08,Action,3.5
Nemesis of the Roman Empire,2004-04-06,Strategy,8.0
Northland,2004-04-02,Strategy,6.4
Worms 3D,2004-05-18,Strategy,7.5
CSI: Crime Scene Investigation: Dark Motives,2004-03-30,Adventure,8.4
Squad Assault: West Front,2004-03-26,Strategy,7.2
UEFA EURO 2004 Portugal,2004-05-07,Sports,8.0
kill.switch,2004-04-15,Shooter,7.8
Mace Griffin: Bounty Hunter,2004-03-17,Shooter,6.3
Battlefield Vietnam,2004-03-16,Shooter,8.2
Midnight Nowhere,2004-03-16,Adventure,7.8
Tom Clancy's Splinter Cell Pandora Tomorrow,2004-03-26,"Action, Adventure",9.5
Breed,2004-04-15,Shooter,7.3
FireStarter,2004-03-15,Shooter,7.5
Crystal Key II: The Far Realm,2004-04-09,Adventure,5.9
Kuma\War,2004-04-08,Shooter,6.3
Beyond The Law: The Third Wave,2004-04-29,Strategy,5.0
War Times,2004-04-26,Strategy,5.3
City of Heroes,2004-05-28,RPG,8.4
True Crime: Streets of L.A.,2004-05-27,"Action, Adventure",8.0
Singles: Flirt up your Life,2004-05-26,Simulation,7.0
Harry Potter and the Prisoner of Azkaban,2004-06-09,"Action, Adventure",6.0
Shrek 2,2004-06-07,Adventure,3.9
Lineage II,2004-06-18,RPG,6.7
The Suffering,2004-06-16,"Action, Adventure",8.5
Blitzkrieg: Burning Horizon,2004-06-03,Strategy,7.9
Soldner: Secret Wars,2004-07-02,Shooter,5.0
TrackMania,2004-07-02,Racing,5.9
Bad Boys II,2004-06-30,Action,4.8
Missing: Since January,2004-07-13,Adventure,8.0
Catwoman,2004-07-30,Action,3.8
Xtreme Accuracy Shooting,2004-07-28,Sports,4.0
