title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
DeathSpank: Thongs of Virtue,2010-11-30,"Action, RPG",Hothead Games,Electronic Arts,0,8.5,Great,0,0,75000,7.99
Bit.Trip Beat,2010-11-08,Action,Gaijin Games,Gaijin Games,0,7.5,Good,78,141,350000,6.99
Call of Duty: Black Ops,2010-11-10,Shooter,Treyarch,Activision,18,8.5,Great,2672,517,3500000,29.99
Pound of Ground,2010-11-10,Shooter,Centauri Production,Bohemia Interactive,0,3.5,Awful,0,0,35000,8.99
Nimbus,2010-11-04,Racing,Noumenon Games,Noumenon Games,0,8.0,Great,1,1,75000,5.99
Shank,2010-11-08,Action,Klei Entertainment,Klei Entertainment,0,7.0,Good,255,363,350000,7.19
The Kings' Crusade,2010-11-02,Strategy,NeoCoreGames,Paradox Interactive,0,5.0,Mediocre,0,0,75000,7.99
The UnderGarden,2010-11-16,"Puzzle, Adventure",Artech Studios,Retroism,0,6.5,Okay,23,23,35000,4.99
Bejeweled 3,2010-12-07,Puzzle,"PopCap Games, Inc.","PopCap Games, Inc.",0,8.0,Great,85,158,350000,4.25
Star Wars: The Force Unleashed II,2010-10-27,Action,Aspyr Studios,LucasArts;Lucasfilm;Disney Interactive,0,6.5,Okay,249,365,1500000,15.49
DeathSpank,2010-10-27,"Action, RPG",Hothead Games,Electronic Arts,0,8.5,Great,1008,1008,150000,7.99
Dead Space 2,2011-01-21,"Action, Adventure",Visceral Games,Electronic Arts,0,9.0,Amazing,292,272,1500000,14.99
Rush,2010-12-14,Puzzle,Two Tribes,Two Tribes Publishing,0,8.0,Great,53,56,350000,3.99
Dungeons,2011-02-25,Strategy,Realmforge Studios,Kalypso Media Digital,0,6.5,Okay,112,112,350000,6.99
Flight Control HD,2010-12-14,Simulation,Firemint,Firemint,0,8.0,Great,85,85,75000,2.99
Who's That Flying!?,2011-02-07,Shooter,Mediatonic,Kalypso Media Digital,0,8.0,Great,25,25,35000,3.99
Magicka,2011-01-28,"Action, RPG",Arrowhead Game Studios,Paradox Interactive,0,7.0,Good,589,369,3500000,7.99
Homefront,2011-03-15,Shooter,Kaos Studios;Digital Extremes,Deep Silver,0,7.0,Good,1772,126,3500000,14.99
Risk: Factions,2011-03-15,Strategy,Stainless Games,Electronic Arts,0,7.5,Good,979,1754,75000,7.99
Shift 2 Unleashed,2011-03-29,Racing,Slightly Mad Studios,Electronic Arts,0,8.5,Great,0,0,350000,19.99
Atom Zombie Smasher,2011-03-21,Action,Blendo Games,Blendo Games,0,7.5,Good,72,101,350000,6.99
Bit.Trip Runner,2011-03-21,Platformer,Gaijin Games,Gaijin Games,0,7.0,Good,149,202,750000,6.99
Rift,2011-03-18,RPG,Trion Worlds,Trion Worlds,0,8.5,Great,4104,1997,3500000,0.0
Cities in Motion,2011-03-22,Simulation,Colossal Order Ltd.,Paradox Interactive,0,7.0,Good,1,1,350000,14.99
Hoard,2011-04-05,Action,Big Sandwich Games,Big Sandwich Games,0,7.5,Good,31,31,350000,6.99
Brink,2011-05-10,Shooter,Splash Damage,Bethesda Softworks,0,6.5,Okay,181,99,1500000,0.0
Hector: Badge of Carnage -- Episode 1: We Negotiate with Terrorists,2011-05-10,Adventure,Straandlooper,Telltale Games,0,7.5,Good,0,0,350000,14.99
Shadow Harvest: Phantom Ops,2011-04-21,Shooter,Black Lion Studios,Viva Media,0,4.5,Bad,58,58,35000,6.99
Dino D-Day,2011-04-20,Shooter,800 North and Digital Ranch,800 North and Digital Ranch,0,5.5,Mediocre,172,150,1500000,6.99
Section 8: Prejudice,2011-05-04,Shooter,TimeGate Studios,Atari,0,6.0,Okay,53,53,350000,6.99
Portal 2,2011-04-18,Shooter,Valve,Valve,0,9.5,Amazing,1102,520,15000000,7.19
Theatre of War 3: Korea,2011-04-13,Strategy,1C Entertainment,1C Entertainment,0,5.0,Mediocre,0,0,75000,4.99
Anomaly: Warzone Earth,2011-04-08,Action,11 bit studios,11 bit studios,0,8.0,Great,200,181,750000,7.99
Capsized,2011-05-19,Platformer,Alientrap,Alientrap,0,8.5,Great,152,153,350000,5.99
Yar's Revenge,2011-05-12,Shooter,Killspace Entertainment,Atari,0,5.5,Mediocre,0,0,10000,6.99
Terraria,2011-05-25,"Action, RPG",Re-Logic,Re-Logic,0,9.0,Amazing,5585,1840,7500000,6.99
Duke Nukem Forever,2011-06-14,Shooter,Gearbox Software,2K,18,5.5,Mediocre,434,472,1500000,14.99
Fortix 2,2011-05-24,Action,Nemesys Games,Nemesys Games,0,7.5,Good,487,487,150000,1.59
Red Faction: Armageddon,2011-06-13,Action,Volition,THQ Nordic,18,7.0,Good,307,436,1500000,14.99
Mount & Blade: With Fire & Sword,2011-05-20,RPG,TaleWorlds Entertainment,TaleWorlds Entertainment,0,7.5,Good,723,713,1500000,7.99
Hunted: The Demon's Forge,2011-06-03,"Action, RPG",inXile Entertainment,Bethesda Softworks,0,6.0,Okay,28,28,150000,3.99
Jamestown: Legend of the Lost Colony,2011-06-29,Shooter,Final Form Games,Final Form Games,0,8.5,Great,79,100,750000,6.99
Garshasp,2011-05-31,Action,Dead Mage,Digital Dragon,0,5.0,Mediocre,0,0,75000,3.99
Critical Mass,2011-06-15,"Puzzle, Action",Manic Game Studios,Manic Game Studios,0,8.0,Great,0,0,150000,1.59
Frozen Synapse,2011-06-15,Strategy,Mode 7,Mode 7,0,8.5,Great,183,227,750000,18.99
F.E.A.R. 3,2011-06-21,Shooter,Day 1 Studios,Warner Bros. Interactive Entertainment,18,8.0,Great,310,298,1500000,12.99
Magic: The Gathering -- Duels of the Planeswalkers 2012,2011-06-26,"Card, Battle",Stainless Games Ltd,Wizards of the Coast LLC,0,8.5,Great,935,935,350000,0.0
Solar 2,2011-07-14,Action,Murudai,Murudai,0,8.0,Great,229,402,350000,6.99
Limbo,2011-08-02,Platformer,Playdead,Playdead,0,9.0,Amazing,117,127,3500000,6.99
Runespell: Overture,2011-07-29,RPG,Mystic Box,Mystic Box,0,6.5,Okay,96,127,150000,7.99
Dungeons of Dredmor,2011-07-28,RPG,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",0,8.5,Great,800,1302,750000,3.49
Tobe's Vertical Adventure,2011-07-28,Platformer,Secret Base,Secret Base,0,8.0,Great,17,17,75000,0.79
Cthulhu Saves the World,2011-07-22,RPG,Zeboyd Games,Zeboyd Games,0,8.0,Great,351,388,750000,0.0
Trapped Dead,2011-08-12,Strategy,Headup Games / Crenetic,Headup Games ,0,4.0,Bad,142,157,150000,3.99
Bastion,2011-08-22,"Action, RPG",Supergiant Games,Supergiant Games,0,9.0,Amazing,391,234,3500000,11.39
Trauma,2011-08-09,Simulation,Krystian Majewski,Krystian Majewski,0,7.0,Good,7,7,350000,4.39
E.Y.E.: Divine Cybermancy,2011-08-05,Shooter,Streum On Studio,Streum On Studio,0,5.0,Mediocre,413,533,750000,6.99
Tropico 4,2011-09-13,Strategy,Haemimont Games,Kalypso Media Digital,0,8.5,Great,518,268,3500000,12.49
Men Of War: Vietnam,2011-09-09,Strategy,1C Entertainment,1C Entertainment;1C-SoftClub,0,7.0,Good,10,10,150000,5.59
"Warhammer 40,000: Space Marine",2011-09-08,Shooter,Relic,SEGA,18,7.5,Good,712,537,3500000,19.99
The Baconing,2011-09-02,"Action, RPG",Hothead Games,Hothead Games,0,6.0,Okay,14,14,150000,9.99
From Dust,2011-09-01,Simulation,Ubisoft Montpellier,Ubisoft,0,8.5,Great,358,399,350000,8.59
Red Orchestra 2: Heroes of Stalingrad,2011-09-21,Shooter,Tripwire Interactive,Tripwire Interactive,0,8.0,Great,771,269,3500000,14.99
Rock of Ages,2011-09-19,Action,ACE Team,SEGA,0,7.5,Good,235,231,350000,6.99
Achron,2011-09-16,Strategy,Hazardous Software Inc.,Hazardous Software Inc.,0,5.0,Mediocre,0,0,35000,14.99
Orcs Must Die,2011-10-05,Strategy,Robot Entertainment,Robot Entertainment,0,9.0,Amazing,159,195,1500000,7.99
Rage,2011-10-04,Shooter,id Software,Bethesda Softworks,16,8.5,Great,559,392,1500000,7.99
Dead Rising 2: Off the Record,2011-10-11,"Action, Adventure",Capcom Vancouver,Capcom,18,7.0,Good,435,621,350000,14.99
The Binding of Isaac,2011-10-11,RPG,Edmund McMillen and Florian Himsl,Edmund McMillen,0,7.5,Good,1849,567,3500000,3.99
Off-Road Drive,2011-10-13,Racing,1C-Avalon,1C Entertainment,0,5.0,Mediocre,0,0,75000,3.99
The Haunted: Hells Reach,2011-11-01,Shooter,KTX Software,Signo & Arte,0,5.0,Mediocre,285,333,75000,5.99
Costume Quest,2011-11-01,RPG,Double Fine Productions,Double Fine Productions,0,8.0,Great,219,227,350000,6.99
Dungeon Defenders,2011-11-01,Strategy,Trendy Entertainment,Trendy Entertainment,0,8.5,Great,1993,1205,1500000,9.99
Serious Sam: The Random Encounter,2011-11-03,RPG,Vlambeer;Croteam,Devolver Digital,0,7.0,Good,18,18,750000,3.99
Serious Sam 3: BFE,2011-12-01,Shooter,Croteam,Devolver Digital,0,7.0,Good,378,215,3500000,29.99
The Elder Scrolls V: Skyrim,2011-11-10,RPG,Bethesda Game Studios,Bethesda Softworks,16,9.5,Amazing,7089,3885,15000000,9.99
Saints Row: The Third,2011-11-21,Action,Volition,Deep Silver,18,8.5,Great,1848,1033,3500000,6.99
InMomentum,2011-11-16,Platformer,Digital Arrow,White Rabbit Interactive,0,6.0,Okay,0,0,75000,6.99
Anno 2070,2011-12-02,Strategy,Blue Byte;Related Designs,Ubisoft,0,8.5,Great,879,846,750000,16.99
Oil Rush,2012-01-31,Strategy,Unigine Corp.,Unigine Corp.,0,6.5,Okay,9,9,350000,5.59
SOL: Exodus,2012-01-27,Action,"Bit Planet Games, LLC","Bit Planet Games, LLC",0,5.5,Mediocre,0,0,75000,5.59
Pineapple Smash Crew,2012-02-10,Shooter,RichMakeGame,RichMakeGame,0,5.5,Mediocre,0,0,35000,6.99
The Darkness II,2012-02-07,Shooter,Digital Extremes,2K,18,8.0,Great,191,214,1500000,19.99
Unstoppable Gorg,2012-01-24,Strategy,Futuremark,Futuremark,0,6.5,Okay,37,37,75000,6.99
Kingdoms of Amalur: Reckoning,2012-02-07,RPG,Big Huge Games;38 Studios,38 Studios;Electronic Arts,16,9.0,Amazing,252,170,750000,19.99
Shank 2,2012-02-06,Action,Klei Entertainment,Klei Entertainment,18,8.5,Great,297,256,750000,7.19
Defenders of Ardania,2012-03-19,Strategy,Most Wanted Entertainment,Paradox Interactive,0,4.5,Bad,28,55,35000,8.99
Alan Wake,2012-02-15,Action,Remedy Entertainment,Remedy Entertainment,0,9.0,Amazing,239,228,3500000,11.39
Legend of Grimrock,2012-04-09,RPG,Almost Human Games,Almost Human Games,0,8.5,Great,314,362,750000,10.99
Wargame: European Escalation,2012-03-07,Strategy,Eugen Systems,Eugen Systems,0,8.0,Great,11,11,750000,7.99
King Arthur II: The Role-Playing Wargame,2012-02-14,Strategy,NeocoreGames,Paradox Interactive,0,6.0,Okay,46,46,150000,7.99
Crusader Kings II,2012-03-05,Strategy,Paradox Development Studio,Paradox Interactive,0,8.0,Great,1366,272,3500000,29.99
Rayman Origins,2012-03-29,Platformer,UBIart Montpellier;Feral Interactive (Mac),Ubisoft;Feral Interactive (Mac),0,9.5,Amazing,266,497,350000,8.59
Risen 2: Dark Waters,2012-04-23,RPG,Piranha Bytes,Deep Silver,0,6.5,Okay,1278,1257,1500000,7.99
Lone Survivor,2012-04-20,Adventure,Jasper Byrne,Superflat Games,16,8.5,Great,93,128,750000,11.39
The Witcher 2: Assassins of Kings (Enhanced Edition),2012-04-19,RPG,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,0,9.0,Amazing,838,320,3500000,14.99
Insanely Twisted Shadow Planet,2012-04-19,Shooter,Shadow Planet Productions,Microsoft Studios,0,8.0,Great,275,275,350000,11.99
Alan Wake's American Nightmare,2012-05-29,Action,Remedy Entertainment,Remedy Entertainment,0,7.5,Good,71,123,1500000,6.19
Max Payne 3,2012-05-14,Shooter,Rockstar Studios,Rockstar Games,0,9.0,Amazing,464,531,1500000,14.99
Analogue: A Hate Story,2012-05-11,Other,Love Conquers All Games,Love Conquers All Games,0,7.0,Good,167,167,150000,7.19
A Valley Without Wind,2012-05-04,Adventure,"Arcen Games, LLC","Arcen Games, LLC",0,5.5,Mediocre,84,84,350000,0.0
Botanicula,2012-04-26,Adventure,Amanita Design,Amanita Design,0,9.0,Amazing,16,20,350000,7.99
Quantum Conundrum,2012-06-21,Puzzle,Airtight Games,Square Enix,0,8.0,Great,162,220,350000,6.99
Krater,2012-06-20,RPG,Fatshark,Fatshark,0,5.0,Mediocre,369,369,150000,10.99
Sins of a Solar Empire: Rebellion,2012-06-13,Strategy,Ironclad Games;Stardock Entertainment,Stardock Entertainment,0,7.5,Good,507,393,3500000,30.99
Magic: The Gathering -- Duels of the Planeswalkers 2013,2012-06-25,"Card, Battle",Stainless Games,Wizards of the Coast LLC,0,8.5,Great,1070,1903,350000,6.99
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,2012-06-25,RPG,Zeboyd Games,"Penny Arcade, Inc.",0,8.0,Great,0,0,350000,1.69
A Virus Named Tom,2012-08-02,"Puzzle, Action",Misfits Attic,Misfits Attic,0,7.0,Good,92,97,350000,6.99
Orcs Must Die 2,2012-07-27,Strategy,Robot Entertainment,Robot Entertainment,0,9.0,Amazing,429,244,3500000,11.99
LEGO Batman 2: DC Super Heroes,2012-07-06,"Action, Adventure",TT Games,Warner Bros. Interactive Entertainment ,0,8.5,Great,988,1031,350000,14.99
Resonance,2012-07-23,Adventure,XII Games,Wadjet Eye Games,0,7.0,Good,219,219,75000,6.99
Proteus,2013-02-08,Adventure,Ed Key and David Kanaga,Twisted Tree,0,8.5,Great,36,48,350000,6.99
Roller Coaster Rampage,2012-07-02,Simulation,Pantera Entertainment,Pantera Entertainment,0,6.5,Okay,0,0,35000,6.99
Antichamber,2013-01-31,Puzzle,Alexander Bruce,Demruth,0,8.6,Great,176,181,1500000,14.99
Fieldrunners 2,2013-01-25,Strategy,Subatomic Studios LLC,Subatomic Studios LLC,0,8.1,Great,0,0,150000,6.99
Retrovirus,2013-02-20,Shooter,Cadenza Interactive,Cadenza Interactive,0,6.6,Okay,105,105,35000,7.19
BioShock Infinite,2013-03-21,Shooter,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),18,9.5,Amazing,614,519,3500000,19.99
The Banner Saga: Factions,2013-03-14,"Strategy, RPG",Stoic,Versus Evil,0,7.8,Good,95245,190489,350000,0.0
Sniper: Ghost Warrior 2,2013-03-19,Shooter,City Interactive,CI Games,18,5.0,Mediocre,234,228,1500000,6.99
March of the Eagles,2013-02-27,Strategy,Paradox Development Studio,Paradox Interactive,0,7.9,Good,0,0,75000,14.99
Tomb Raider,2013-02-25,Action,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux),Square Enix;Feral Interactive (Mac);Feral Interactive (Linux),18,9.1,Amazing,527,475,7500000,14.99
Cities in Motion 2,2013-04-11,Simulation,Colossal Order Ltd.,Paradox Interactive,0,7.5,Good,157,207,750000,14.99
Warframe,2013-04-03,Shooter,Digital Extremes,Digital Extremes,16,7.0,Good,5845,394,35000000,0.0
Incredipede,2013-03-29,"Puzzle, Adventure",Colin Northway with art by Thomas Shahan,Northway Games,0,8.5,Great,0,0,150000,6.99
The Swapper,2013-06-01,Platformer,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,0,9.3,Amazing,129,184,750000,11.99
Fez,2013-05-01,Platformer,Polytron Corporation,Trapdoor,0,9.5,Amazing,144,198,1500000,6.99
Grid 2,2013-05-28,Racing,Codemasters Racing;Feral Interactive (Mac),Codemasters;Feral Interactive (Mac),0,8.0,Great,340,243,1500000,19.98
Fallen Enchantress: Legendary Heroes,2013-05-28,Strategy,Stardock Entertainment,Stardock Entertainment,0,8.0,Great,1610,2874,350000,19.49
Sacred Citadel,2013-04-30,Action,Southend,Deep Silver,0,5.9,Mediocre,220,263,750000,7.99
Thunder Wolves,2013-05-27,"Flight, Action",Most Wanted Entertainment,HandyGames,0,6.7,Okay,0,0,150000,7.99
Reus,2013-05-23,Simulation,Abbey Games,Abbey Games,0,6.8,Okay,1293,195,750000,6.99
Monaco,2013-04-24,Action,Pocketwatch Games,Pocketwatch Games,0,9.0,Amazing,183,135,3500000,10.99
Anomaly 2,2013-05-15,Strategy,11 bit studios,11 bit studios,0,8.0,Great,87,115,350000,11.49
Sanctum 2,2013-05-15,Strategy,Coffee Stain Studios,Coffee Stain Publishing,0,8.5,Great,293,203,3500000,11.39
StarDrive,2013-05-13,Strategy,Zero Sum Games,Iceberg Interactive,0,4.5,Bad,0,0,150000,22.99
Papo & Yo,2013-04-18,Adventure,Minority Media Inc.,Minority Media,0,4.0,Bad,158,158,350000,10.99
ShootMania Storm,2013-04-17,Shooter,Nadeo,Ubisoft,0,7.8,Good,507,507,75000,16.99
Mars: War Logs,2013-05-03,"Action, RPG",Spiders,Focus Home Interactive,0,5.3,Mediocre,346,346,350000,11.99
Storm,2013-07-13,"Puzzle, Action",Eko Software,Eko Software,0,4.0,Bad,217,217,35000,6.99
Dark,2013-07-11,Action,Realmforge Studios,Kalypso Media Digital,0,4.0,Bad,75,75,150000,6.99
Gunpoint,2013-06-21,"Puzzle, Action",Suspicious Developments,Suspicious Developments,0,9.0,Amazing,212,242,750000,6.0
The Night of the Rabbit,2013-06-07,Adventure,Daedalic Entertainment,Daedalic Entertainment,0,7.9,Good,96,112,350000,16.99
The Incredible Adventures of Van Helsing,2013-06-07,"Action, RPG",NeocoreGames,NeocoreGames,0,7.0,Good,572,720,750000,10.99
Wargame: AirLand Battle,2013-06-05,Strategy,Eugen Systems,Eugen Systems,0,8.4,Great,1069,1254,750000,14.99
Dungeons & Dragons: Chronicles of Mystara,2013-06-27,Action,Iron Galaxy Studios,Capcom,0,8.3,Great,0,0,150000,11.99
Penny Arcade's On the Rain-slick Precipice of Darkness 4,2013-06-26,RPG,Zeboyd Games,"Penny Arcade, Inc.",0,6.0,Okay,315,342,350000,1.69
Rogue Legacy,2013-07-26,RPG,Cellar Door Games,Cellar Door Games,0,9.0,Amazing,769,644,1500000,10.99
Shadowrun Returns,2013-07-25,RPG,Harebrained Schemes,Paradox Interactive,0,7.3,Good,278,240,1500000,10.99
Gone Home,2013-08-15,Simulation,Fullbright,Fullbright,0,9.5,Amazing,90,129,750000,10.99
Europa Universalis IV,2013-08-15,Strategy,Paradox Development Studio,Paradox Interactive,0,8.9,Great,8138,4572,1500000,34.99
Company of Heroes 2,2013-06-26,Strategy,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),18,8.4,Great,1846,277,3500000,14.99
Magrunner: Dark Pulse,2013-06-25,"Puzzle, Action",Frogwares,Frogwares,0,6.8,Okay,0,0,35000,6.99
Dota 2,2013-07-24,RPG,Valve,Valve,0,9.4,Amazing,23944,801,150000000,0.0
Space Hulk,2013-08-30,Strategy,Full Control Studios,Full Control,0,6.7,Okay,87,87,350000,18.99
Guncraft,2013-08-27,Shooter,Exato Games Studio,Reverb Triple XP,0,6.4,Okay,103,178,150000,10.99
Saints Row IV,2013-08-14,Action,Deep Silver Volition,Deep Silver,16,7.3,Good,1279,1094,3500000,10.99
Amnesia: A Machine for Pigs,2013-09-10,Adventure,The Chinese Room,Frictional Games,0,8.3,Great,100,123,3500000,14.99
Lost Planet 3,2013-08-27,Action,Spark Unlimited,Capcom,0,6.2,Okay,155,155,350000,19.99
PayDay 2,2013-08-13,Shooter,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,18,8.0,Great,3975,890,15000000,7.49
Total War: Rome II,2013-09-06,Strategy,CREATIVE ASSEMBLY,SEGA,0,8.8,Great,5760,1287,3500000,29.99
"Papers, Please",2013-08-12,Simulation,Lucas Pope,3909,0,8.7,Great,674,214,3500000,6.99
Divekick,2013-09-05,Fighting,Iron Galaxy,Iron Galaxy,0,7.0,Good,238,272,350000,3.99
Outlast,2013-09-04,"Action, Adventure",Red Barrels,Red Barrels,0,7.8,Good,751,166,3500000,15.49
The Bureau: XCOM Declassified,2013-08-20,Shooter,2K Marin,2K,16,5.5,Mediocre,201,168,3500000,14.99
Divinity: Dragon Commander,2013-08-07,"Strategy, RPG",Larian Studios,Larian Studios,0,7.8,Good,430,686,350000,29.99
Rise of the Triad,2013-08-06,Shooter,Slipgate Ironworks™,Apogee Software,18,4.3,Bad,280,343,350000,10.99
The Wolf Among Us: Episode 1 -- Faith,2013-10-10,Adventure,Telltale Games,Telltale Games,16,9.0,Amazing,675,616,1500000,11.99
Dragon's Prophet,2013-10-08,RPG,Runewaker,Infernum Productions AG,0,5.1,Mediocre,152,183,350000,0.0
Shadow Warrior,2013-10-02,Shooter,Flying Wild Hog,Devolver Digital,18,8.6,Great,319,227,3500000,29.99
Scribblenauts Unmasked: A DC Comics Adventure,2013-09-25,"Puzzle, Action",5th Cell Media,Warner Bros. Interactive Entertainment,0,9.1,Amazing,124,124,350000,14.99
LEGO Marvel Super Heroes,2013-10-22,Action,Traveller's Tales,Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,9.0,Amazing,4034,3514,750000,14.99
Path of Exile,2013-11-09,"Action, RPG",Grinding Gear Games,Grinding Gear Games,0,8.8,Great,5263,492,15000000,0.0
The Stanley Parable,2013-10-18,Adventure,Galactic Cafe,Galactic Cafe,0,8.8,Great,170,132,3500000,9.99
Knock-Knock,2013-10-17,Adventure,Ice-Pick Lodge,Ice-Pick Lodge,0,6.2,Okay,507,570,75000,6.99
140,2013-10-16,Platformer,Carlsen Games,Carlsen Games,0,8.0,Great,205,274,350000,3.99
Soundodger,2013-10-15,"Music, Action",Studio Bean,Adult Swim Games,0,7.3,Good,130,130,75000,5.59
Contrast,2013-11-13,"Puzzle, Action",Compulsion Games,Focus Home Interactive,0,7.5,Good,91,91,350000,8.49
Deadfall Adventures,2013-11-27,Shooter,The Farm 51,THQ Nordic,0,4.0,Bad,0,0,150000,17.99
Injustice: Gods Among Us -- Ultimate Edition,2013-11-22,Fighting,NetherRealm Studios;High Voltage Software,Warner Bros. Interactive Entertainment,16,8.2,Great,288,320,1500000,14.99
Batman: Arkham Origins Blackgate -- Deluxe Edition,2013-10-25,Action,WB Games Montreal;Splash Damage,Warner Bros. Interactive Entertainment,16,7.4,Good,538,443,3500000,0.0
Batman: Arkham Origins,2013-10-25,Action,WB Games Montreal;Splash Damage,Warner Bros. Interactive Entertainment,16,7.8,Good,538,443,3500000,0.0
Tiny Brains,2013-12-04,Puzzle,Spearhead Games,Spearhead Games,0,4.5,Bad,132,132,75000,7.19
Redshirt,2013-12-03,Action,The Tiniest Shark,Positech,0,7.4,Good,281,281,35000,6.99
X Rebirth,2013-12-02,Simulation,Egosoft,Egosoft,0,4.3,Bad,1744,3386,350000,24.99
Insurgency,2014-01-28,Shooter,New World Interactive,New World Interactive,0,7.5,Good,712,245,3500000,6.99
Consortium,2014-01-25,Simulation,Interdimensional Games Inc,Interdimensional Games Inc,0,7.2,Good,151,142,350000,6.99
Assassin's Creed Liberation HD,2014-01-18,Action,Ubisoft Sofia,Ubisoft,0,5.2,Mediocre,934,934,150000,16.99
Broken Age: Act 1,2014-01-16,Adventure,Double Fine Productions,Double Fine Productions,0,9.5,Amazing,271,271,750000,11.39
Nidhogg,2014-01-15,Fighting,Messhof,Messhof,0,9.0,Amazing,123,184,750000,6.99
Continue?9876543210,2014-01-15,Adventure,Jason Oda,Jason Oda,0,7.9,Good,0,0,35000,6.99
The Banner Saga,2014-01-14,"Strategy, RPG",Stoic,Versus Evil,0,8.6,Great,164,188,750000,18.74
Metal Gear Rising: Revengeance,2014-01-10,Action,PlatinumGames,Konami Digital Entertainment,18,8.5,Great,863,870,750000,19.99
Ravensword: Shadowlands,2013-12-21,"Action, RPG",Crescent Moon Games,Crescent Moon Games,0,5.6,Mediocre,0,0,150000,4.99
Banished,2014-02-21,Simulation,Shining Rock Software LLC,Shining Rock Software LLC,0,8.3,Great,1209,825,1500000,14.99
Horizon,2014-02-20,Strategy,L3O Interactive,Iceberg Interactive,0,6.5,Okay,84,84,75000,22.99
Samurai Gunn,2013-12-19,Shooter,Teknopants,Maxistentialism,0,8.3,Great,0,0,35000,11.99
Jazzpunk,2014-02-06,Adventure,Necrophone Games,Necrophone Games,0,7.0,Good,305,402,350000,10.99
The LEGO Movie Videogame,2014-02-13,"Action, Adventure",TT Fusion;Traveller's Tales;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,6.5,Okay,570,570,350000,14.99
The Castle Doctrine,2014-02-04,Strategy,Jason Rohrer,Jason Rohrer,0,4.5,Bad,38,38,10000,12.49
Octodad: Dadliest Catch,2014-01-30,Adventure,Young Horses,Young Horses,0,7.8,Good,174,250,750000,11.99
Blackguards,2014-01-30,RPG,Daedalic Entertainment,Daedalic Entertainment,0,7.8,Good,174,232,750000,26.99
South Park: The Stick of Truth,2014-03-04,RPG,Obsidian Entertainment,Ubisoft,0,9.0,Amazing,1045,628,3500000,25.99
Castlevania: Lords of Shadow 2,2014-02-25,Action,MercurySteam,Konami Digital Entertainment,16,6.5,Okay,732,732,350000,24.99
Castlevania: Lords of Shadow 2,2014-02-25,Action,MercurySteam,Konami Digital Entertainment,0,6.5,Okay,0,0,150000,9.99
Thief,2014-02-24,"Adventure, Adventure",Eidos-Montréal;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),16,6.8,Okay,276,192,1500000,19.99
Deus Ex: The Fall,2014-03-24,Shooter,Square Enix,Square Enix,18,3.0,Awful,81,81,750000,7.99
Luftrausers,2014-03-21,Action,Vlambeer,Devolver Digital,0,8.7,Great,260,347,350000,6.99
Betrayer,2014-04-03,"Action, Adventure",Blackpowder Games,Blackpowder Games,0,5.0,Mediocre,112,123,350000,3.99
Age of Wonders III,2014-04-02,Strategy,Triumph Studios,Paradox Interactive,0,7.1,Good,984,861,750000,22.99
Goat Simulator,2014-04-01,Action,Coffee Stain Studios,Coffee Stain Publishing,0,8.0,Great,309,149,3500000,7.19
TowerFall Ascension,2014-03-25,Action,Matt Thorson,Matt Makes Games Inc.,0,8.9,Great,337,340,350000,10.99
"Sir, You are Being Hunted",2014-05-02,Shooter,Big Robot Ltd,Big Robot Ltd,0,7.7,Good,98,120,750000,14.99
Wargame: Red Dragon,2014-04-29,Strategy,Eugen Systems,Focus Home Interactive,0,7.6,Good,1702,2288,750000,24.99
Daylight,2014-04-29,Adventure,Zombie Studios,Zombie Studios,16,5.8,Mediocre,184,184,75000,6.99
Child of Light,2014-04-29,RPG,Ubisoft Montréal,Ubisoft,0,9.3,Amazing,605,818,750000,12.49
The Last Federation,2014-04-29,Strategy,"Arcen Games, LLC","Arcen Games, LLC",0,6.9,Okay,0,0,75000,14.99
"Batman: Arkham Origins -- Cold, Cold Heart",2014-04-25,Action,Armature Studio,WB Games,0,7.0,Good,129,189,750000,14.99
Ether One,2014-04-18,Adventure,White Paper Games,White Paper Games,0,7.9,Good,0,0,75000,14.99
Shovel Knight,2014-06-26,"Platformer, Adventure",Yacht Club Games,Yacht Club Games,0,9.0,Amazing,501,611,750000,18.99
Trials Fusion,2014-04-16,"Racing, Action","RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,0,8.2,Great,418,480,350000,16.99
Grid Autosport,2014-06-24,Racing,Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux),Codemasters;Feral Interactive (Mac);Feral Interactive (Linux),0,8.3,Great,228,417,750000,24.99
