title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
RoboBlitz,2006-11-07,Action,Naked Sky Entertainment,Naked Sky Entertainment,0,8.0,Great,78,78,35000,5.99
Heroes of Annihilated Empires,2006-11-22,Strategy,GSC Game World,GSC Game World,0,6.0,Okay,0,0,75000,9.99
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-19,Shooter,GSC Game World,GSC Game World,0,8.2,Great,493,360,1500000,9.99
Silverfall,2007-04-04,"Action, RPG",Monte Cristo,Focus Home Interactive,0,5.5,Mediocre,0,0,35000,7.99
Lost Planet: Extreme Condition,2007-06-29,Action,"CAPCOM Co., Ltd.",Capcom,0,5.8,Mediocre,74,74,350000,9.99
Medieval II: Total War Kingdoms,2007-09-10,Strategy,The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,8.4,Great,0,0,350000,0.0
Company of Heroes: Opposing Fronts,2007-09-28,Strategy,Relic Entertainment,SEGA,0,8.8,Great,79,106,3500000,9.99
Ducati World Championship,2007-09-25,Racing,Artematica Entertainment,Strategy First,0,3.0,Awful,0,0,35000,3.99
Team Fortress 2,2007-10-09,Shooter,Valve,Valve,0,8.9,Great,8495,623,35000000,0.0
Loki: Heroes of Mythology,2007-10-15,"Action, RPG",Cyanide Studios,Focus Home Interactive,0,6.0,Okay,0,0,35000,6.99
Half-Life 2: Episode Two,2007-10-09,Shooter,Valve,Valve,0,9.4,Amazing,354,301,7500000,5.79
Portal,2007-10-09,Shooter,Valve,Valve,0,8.2,Great,288,137,15000000,7.19
Call of Duty 4: Modern Warfare,2007-11-05,Shooter,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,9.4,Amazing,1417,1503,1500000,19.99
RACE 07,2007-11-07,Racing,SimBin,SimBin,0,8.5,Great,1636,218,1500000,2.49
Conflict: Denied Ops,2008-02-25,Shooter,Pivotal Games,Square Enix,0,4.0,Bad,0,0,75000,3.99
The Club,2008-02-29,Action,Bizarre Creations,SEGA,0,6.9,Okay,0,0,35000,9.99
Frontlines: Fuel of War,2008-02-26,Shooter,Kaos Studios,THQ Nordic,0,7.8,Good,154,154,350000,9.99
"Warhammer 40,000: Dawn of War -- Soulstorm",2008-03-14,Strategy,Relic Entertainment,SEGA,16,7.0,Good,1433,1629,1500000,9.99
Ninja Reflex: Steamworks Edition,2008-04-16,Party,Sanzaru Games,Nunchuck Games,0,6.0,Okay,121,121,10000,3.99
Assassin's Creed: Director's Cut Edition,2008-04-08,Action,Ubisoft Montreal,Ubisoft,0,7.8,Good,360,476,750000,8.59
Gumboy Tournament,2008-06-03,Action,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,6.6,Okay,46,49,75000,1.79
Chaos Theory,2008-06-11,Puzzle,blurredVision,blurredVision,0,6.5,Okay,0,0,10000,1.99
Trials 2: Second Edition,2008-06-11,Racing,Redlynx,RedLynx Ltd.,0,8.0,Great,382,382,75000,5.99
Pacific Storm: Allies,2008-06-27,Strategy,Buka Entertainment;Lesta Studio,Buka Entertainment,0,6.8,Okay,0,0,75000,5.59
Crazy Machines 2,2008-06-26,Puzzle,Fakt Software,Viva Media,0,6.8,Okay,66,66,150000,7.19
FlatOut: Ultimate Carnage,2008-09-12,Racing,Bugbear Entertainment,Strategy First,0,7.8,Good,37,71,350000,16.99
S.T.A.L.K.E.R.: Clear Sky,2008-09-05,Shooter,GSC Game World,GSC World Publishing,0,7.3,Good,716,779,750000,7.99
Crysis Warhead,2008-09-12,Shooter,Crytek,Electronic Arts,0,9.4,Amazing,18,29,750000,7.99
Sid Meier's Civilization IV: Colonization,2008-09-26,Strategy,Firaxis Games,2K,0,8.7,Great,1,1,1500000,9.99
Peggle Nights,2008-09-25,Puzzle,"PopCap Games, Inc.","PopCap Games, Inc.",0,8.4,Great,237,237,350000,4.25
LEGO Batman: The Videogame,2008-09-24,"Action, Adventure",Traveller's Tales,Warner Bros. Interactive Entertainment,0,7.7,Good,490,716,350000,14.99
Brothers in Arms: Hell's Highway (Limited Edition),2008-10-07,Shooter,Gearbox Software,Ubisoft,0,7.9,Good,346,346,150000,8.59
Brothers in Arms: Hell's Highway (Limited Edition),2008-10-07,Shooter,Gearbox Software,Ubisoft,0,7.9,Good,164,164,150000,4.29
Brothers in Arms: Hell's Highway,2008-10-07,Shooter,Gearbox Software,Ubisoft,0,7.9,Good,346,346,150000,8.59
Brothers in Arms: Hell's Highway,2008-10-07,Shooter,Gearbox Software,Ubisoft,0,7.9,Good,164,164,150000,4.29
World of Goo,2008-10-20,Puzzle,2D BOY,2D BOY ,0,9.0,Amazing,194,277,1500000,6.99
Gravitron 2,2008-10-23,Shooter,Dark Castle Software,Dark Castle Software,0,6.6,Okay,0,0,10000,2.99
Fallout 3,2008-10-27,"Action, RPG",Bethesda Game Studios,Bethesda Softworks,0,9.6,Amazing,588,617,750000,7.99
Far Cry 2,2008-10-21,Shooter,Ubisoft Montreal,Ubisoft,0,8.9,Great,257,229,1500000,8.59
X3: Terran Conflict,2008-10-29,Simulation,Egosoft,Egosoft,0,8.0,Great,972,1273,750000,15.99
Bejeweled Twist,2008-11-06,Puzzle,"PopCap Games, Inc.","PopCap Games, Inc.",0,7.4,Good,0,0,35000,4.25
7 Wonders: Treasures of Seven,2008-11-06,Puzzle,MumboJumbo,MumboJumbo,0,5.9,Mediocre,0,0,35000,6.99
Bully: Scholarship Edition,2008-10-28,Action,Rockstar New England,Rockstar Games,0,7.8,Good,319,225,1500000,9.99
Exodus from the Earth,2008-10-27,Shooter,Parallax Arts Studio,Strategy First,0,6.2,Okay,0,0,10000,10.99
Call of Duty: World at War,2008-11-11,Shooter,Treyarch,Activision,16,9.2,Amazing,2331,1108,1500000,19.99
Call of Duty: World at War (Collector's Edition),2008-11-11,Shooter,Treyarch,Activision,16,9.2,Amazing,2331,1108,1500000,19.99
Left 4 Dead,2008-11-17,Shooter,Valve,Valve,0,9.0,Amazing,897,278,7500000,7.19
Need for Speed Undercover,2008-11-19,"Racing, Action",EA Black Box,Electronic Arts,0,5.0,Mediocre,916,1046,350000,9.99
