title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
Nidhogg,2014-01-15,Fighting,9.0,Amazing,Messhof,Messhof,0,123,184,750000,6.99,0.85,2.44,6.4,1.17
NightSky,2011-01-06,Puzzle,7.5,Good,"Nicalis, Inc.","Nicalis, Inc.",0,21,32,750000,6.99,2.65,3.72,7.11,3.5
Nimbus,2010-11-04,Racing,8.0,Great,Noumenon Games,Noumenon Games,0,1,1,75000,5.99,3.78,9.47,20.06,7.63
Nosferatu: The Wrath of Malachi,2003-11-25,Shooter,6.8,Okay,Idol FX,Funbox Media Ltd,0,195,223,750000,2.09,4.02,4.46,6.4,4.6
Nostradamus: The Last Prophecy,2008-10-20,Adventure,7.4,Good,Microids,Microids,0,7,7,75000,3.99,6.49,6.09,6.62,6.38
Not the Robots,2014-01-14,Action,6.5,Okay,2DArray,tinyBuild,0,107,124,150000,6.99,2.3,5.0,14.28,8.1
Nuclear Throne,2015-12-16,Action,9.0,Amazing,Vlambeer,Vlambeer,0,682,491,750000,9.29,16.68,58.4,184.14,30.98
Oblitus,2015-02-28,Action,7.0,Good,Connor Ullmann,Adult Swim Games,0,0,0,10000,10.99,0.67,2.5,4.79,3.12
Obscure: The Aftermath,2008-03-25,"Action,Adventure",6.3,Okay,Hydravision Entertainment,Mighty Rocket Studio,0,0,0,75000,4.99,7.19,7.38,7.52,7.39
Octodad: Dadliest Catch,2014-01-30,Adventure,7.8,Good,Young Horses,Young Horses,0,174,250,750000,11.99,2.41,4.0,7.64,3.3
Off-Road Drive,2011-10-13,Racing,5.0,Mediocre,1C-Avalon,1C Entertainment,0,0,0,75000,3.99,7.0,0.0,0.0,7.0
Offworld Trading Company,2016-04-28,Strategy,8.0,Great,Mohawk Games,Stardock Entertainment,0,237,255,750000,0.0,9.48,33.58,118.94,16.84
Oil Rush,2012-01-31,Strategy,6.5,Okay,Unigine Corp.,Unigine Corp.,0,9,9,350000,5.59,9.83,10.97,15.53,11.36
OlliOlli,2014-01-21,Sports,7.7,Good,Roll7;General Arcade,Devolver Digital,0,16,16,150000,9.99,3.93,8.0,14.38,5.91
Omerta: City of Gangsters,2013-02-06,"RPG,Simulation",5.2,Mediocre,Haemimont Games,Kalypso Media Digital,0,209,281,350000,10.99,18.47,31.4,67.08,29.65
Operation Flashpoint: Red River,2011-04-21,Shooter,7.5,Good,Codemasters Studios,Codemasters,0,413,417,750000,6.99,11.33,13.43,17.07,12.2
Orbital Gear,2014-08-21,Shooter,6.5,Okay,Night Node,Night Node,0,80,87,350000,5.99,0.0,0.0,7.68,7.68
Orcs Must Die,2011-10-05,Strategy,9.0,Amazing,Robot Entertainment,Robot Entertainment,0,159,195,1500000,7.99,8.08,19.97,41.27,14.98
Orcs Must Die 2,2012-07-27,Strategy,9.0,Amazing,Robot Entertainment,Robot Entertainment,0,429,244,3500000,11.99,8.08,19.97,41.27,14.98
Order of War,2009-09-25,Strategy,8.0,Great,Wargaming.net,Square Enix,0,319,589,350000,5.99,19.16,0.0,106.7,36.67
Osmos,2009-08-20,Puzzle,8.5,Great,Hemisphere Games,Hemisphere Games,0,27,27,750000,6.99,5.73,8.24,10.42,7.63
