title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
Rome: Total War -- Alexander,2006-06-20,Strategy,8.0,Great,The Creative Assembly,SEGA,0,33,33,750000,8.99,9.2,11.97,12.88,9.46
Roogoo,2008-07-11,Puzzle,7.1,Good,Spidermonk Entertainment,SouthPeak Games,0,4,4,75000,0.79,2.43,0.0,3.37,2.65
Rugby 15,2014-12-04,Sports,2.0,Painful,Eko Software,Bigben Interactive,0,0,0,10000,29.99,0.0,0.0,18.96,18.96
Runes of Magic,2009-04-14,RPG,7.9,Good,Runewaker Entertainment,Gameforge 4D GmbH‬,0,0,0,75000,0.0,0.0,35.0,0.0,35.0
Runespell: Overture,2011-07-29,RPG,6.5,Okay,Mystic Box,Mystic Box,0,96,127,150000,7.99,6.7,10.41,16.32,11.43
Rush,2010-12-14,Puzzle,8.0,Great,Two Tribes,Two Tribes Publishing,0,53,56,350000,3.99,11.21,14.05,59.57,12.57
Rush for Berlin,2006-06-26,Strategy,8.0,Great,Stormregion,Deep Silver,0,0,0,35000,3.99,21.68,22.57,34.03,24.68
Ryse: Son of Rome,2013-11-21,"Action,Adventure",6.8,Okay,Crytek,Crytek ,18,225,198,1500000,11.99,6.39,8.36,20.0,7.22
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-19,Shooter,8.2,Great,GSC Game World,GSC Game World,0,493,360,1500000,9.99,15.09,24.43,42.23,21.61
S.T.A.L.K.E.R.: Clear Sky,2008-09-05,Shooter,7.3,Good,GSC Game World,GSC World Publishing,0,716,779,750000,7.99,12.69,22.5,35.5,18.3
S.T.A.L.K.E.R. Call of Pripyat,2010-02-05,Shooter,8.2,Great,GSC Game World,GSC Game World,0,1969,3186,1500000,12.99,15.03,23.99,31.84,21.69
Sacred,2004-04-12,RPG,7.8,Good,Keen Games,Deep Silver,16,182,306,350000,10.99,25.4,37.0,67.33,36.21
Sacred 3,2014-08-05,RPG,6.5,Okay,Keen Games,Deep Silver,16,182,306,350000,10.99,8.63,9.56,16.52,10.14
Sacred Citadel,2013-04-30,Action,5.9,Mediocre,Southend,Deep Silver,0,220,263,750000,7.99,5.07,6.48,21.53,5.93
Safecracker: The Ultimate Puzzle Adventure,2006-08-30,"Puzzle,Adventure",6.9,Okay,Kheops Studio,HandyGames,0,1,1,75000,4.49,3.54,4.74,5.74,4.05
Saints Row: The Third,2011-11-21,Action,8.5,Great,Volition,Deep Silver,18,1848,1033,3500000,6.99,15.37,27.43,45.2,26.03
Saints Row 2,2009-01-06,Action,6.3,Okay,Volition,Deep Silver,0,322,81,3500000,9.99,19.95,29.23,51.06,26.31
Saints Row IV,2013-08-14,Action,7.3,Good,Deep Silver Volition,Deep Silver,16,1279,1094,3500000,10.99,15.29,24.73,36.46,23.92
Salt and Sanctuary,2016-05-23,"Action,RPG",8.6,Great,Ska Studios,Ska Studios,16,623,813,350000,13.59,16.48,21.47,32.19,21.27
Samurai Gunn,2013-12-19,Shooter,8.3,Great,Teknopants,Maxistentialism,0,0,0,35000,11.99,0.0,0.0,0.51,0.51
Sanctum 2,2013-05-15,Strategy,8.5,Great,Coffee Stain Studios,Coffee Stain Publishing,0,293,203,3500000,11.39,12.14,32.82,57.76,20.93
SAS: Secure Tomorrow,2008-11-18,Shooter,6.0,Okay,Ninja Kiwi,Ninja Kiwi,0,40,41,750000,0.0,1.98,2.71,0.0,2.07
Screencheat,2014-10-26,Shooter,7.0,Good,Samurai Punk,Fellow Traveller;Samurai Punk,0,122,169,350000,11.39,2.39,5.0,7.57,5.35
Scribblenauts Unlimited,2012-11-20,"Puzzle,Action",8.8,Great,5th Cell Media,Warner Bros. Interactive Entertainment,0,630,390,1500000,14.99,7.25,10.45,13.12,10.71
Scribblenauts Unmasked: A DC Comics Adventure,2013-09-25,"Puzzle,Action",9.1,Amazing,5th Cell Media,Warner Bros. Interactive Entertainment,0,124,124,350000,14.99,6.48,8.26,11.74,9.14
Secret Files: Tunguska,2006-12-04,Adventure,7.6,Good,Animation Arts,Deep Silver,0,0,0,75000,7.99,9.14,11.62,12.26,10.49
Section 8,2009-09-08,Shooter,8.0,Great,TimeGate Studios,Atari,0,53,53,350000,6.99,3.06,3.83,4.78,3.12
Serious Sam: Double D,2011-09-02,Shooter,7.0,Good,Vlambeer;Croteam,Devolver Digital,0,18,18,750000,3.99,2.58,3.76,6.28,3.12
Serious Sam 3: BFE,2011-12-01,Shooter,7.0,Good,Croteam,Devolver Digital,0,378,215,3500000,29.99,10.06,14.62,27.35,12.38
Serious Sam HD,2009-12-02,Shooter,7.5,Good,Croteam,Devolver Digital,0,277,271,1500000,10.99,6.23,8.4,18.45,7.25
Serious Sam II,2005-10-11,Shooter,8.2,Great,Croteam,Devolver Digital,0,233,305,750000,6.99,10.17,12.82,13.6,11.1
Shad'O,2012-09-28,Adventure,7.0,Good,Okugi Studio,Okugi Sudio,0,58,58,35000,3.99,6.11,10.32,21.75,10.81
Shadow Harvest: Phantom Ops,2011-04-21,Shooter,4.5,Bad,Black Lion Studios,Viva Media,0,58,58,35000,6.99,7.5,0.0,0.0,7.5
Shadow Ops: Red Mercury,2004-09-22,Shooter,7.0,Good,Zombie Studios,Retroism,0,0,0,35000,4.99,5.9,9.1,18.47,6.87
Shadow Warrior,2013-10-02,Shooter,8.6,Great,Flying Wild Hog,Devolver Digital,18,319,227,3500000,29.99,12.29,15.47,35.3,14.06
Shadowgrounds,2006-05-30,Action,7.5,Good,Frozenbyte,Frozenbyte,0,186,258,750000,3.99,6.21,7.05,7.12,6.47
Shadowgrounds Survivor,2008-01-29,Action,7.6,Good,Frozenbyte,Frozenbyte,0,355,374,350000,6.99,4.03,4.63,6.09,4.18
Shadowrun,2007-06-04,Shooter,6.8,Okay,Harebrained Schemes,Paradox Interactive,0,505,424,750000,10.99,18.96,19.32,19.41,19.25
Shadowrun Returns,2013-07-25,RPG,7.3,Good,Harebrained Schemes,Paradox Interactive,0,278,240,1500000,10.99,11.61,14.36,17.78,13.88
Shank,2010-11-08,Action,7.0,Good,Klei Entertainment,Klei Entertainment,0,255,363,350000,7.19,3.09,4.39,9.83,3.49
Shank 2,2012-02-06,Action,8.5,Great,Klei Entertainment,Klei Entertainment,18,297,256,750000,7.19,3.89,6.39,18.61,4.75
Shattered Union,2005-10-31,Strategy,7.5,Good,PopTop,2K,0,0,0,35000,2.99,16.5,0.0,0.0,16.5
Sherlock Holmes: Nemesis,2008-05-23,Adventure,7.0,Good,Frogwares,Frogwares,0,0,0,150000,6.99,9.78,11.97,12.7,10.51
Sherlock Holmes Versus Jack the Ripper,2009-06-12,Adventure,8.0,Great,Frogwares,Frogwares,0,0,0,150000,6.99,10.7,11.07,11.17,11.02
Shift 2 Unleashed,2011-03-29,Racing,8.5,Great,Slightly Mad Studios,Electronic Arts,0,0,0,350000,19.99,20.14,35.64,48.43,26.82
Shovel Knight,2014-06-26,"Platformer,Adventure",9.0,Amazing,Yacht Club Games,Yacht Club Games,0,501,611,750000,18.99,6.67,9.54,18.24,8.51
Sid Meier's Civilization: Beyond Earth,2014-10-23,Simulation,7.9,Good,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,932,1552,1500000,29.99,16.99,49.09,78.47,33.63
Sid Meier's Civilization IV,2005-10-21,Strategy,9.4,Amazing,Firaxis Games,2K,0,49,64,1500000,9.99,13.3,43.32,133.5,29.69
Sid Meier's Civilization IV: Warlords,2006-07-31,Strategy,8.4,Great,Firaxis Games,2K,0,49,64,1500000,9.99,6.55,7.96,15.0,7.07
Sid Meier's Civilization IV: Beyond the Sword,2007-07-26,Strategy,8.9,Great,Firaxis Games,2K,0,49,64,1500000,9.99,30.85,60.26,79.42,41.25
Sid Meier's Civilization IV: Colonization,2008-09-26,Strategy,8.7,Great,Firaxis Games,2K,0,1,1,1500000,9.99,10.58,16.33,26.69,12.99
Sid Meier's Civilization V,2010-09-20,Strategy,9.0,Amazing,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,4760,1797,7500000,19.99,40.03,124.87,435.5,98.12
Sid Meier's Railroads!,2006-10-24,Simulation,8.0,Great,Firaxis Games;Feral Interactive (Mac),2K;Feral Interactive (Mac),0,165,253,750000,5.99,15.04,0.0,0.0,15.04
Sid Meier's Starships,2015-03-14,Strategy,6.5,Okay,Firaxis Games,2K,0,0,0,350000,10.99,5.07,19.5,0.0,7.85
Sideway: New York,2011-11-16,Platformer,8.0,Great,Playbrains;Fuel Entertainment,Playbrains,0,0,0,75000,6.99,4.02,4.12,5.27,4.17
Silent Hill: Homecoming,2008-11-19,Adventure,5.5,Mediocre,Double Helix Games,"Konami Digital Entertainment, Inc.;Konami Digital Entertainement GmbH",0,58,73,150000,17.99,9.36,11.22,18.35,10.52
Silent Hunter: Wolves of the Pacific,2007-03-21,Simulation,8.8,Great,Ubisoft Romania,Ubisoft,0,134,134,75000,8.59,35.0,84.05,0.0,51.35
Silent Hunter III,2005-03-18,Simulation,8.8,Great,Ubisoft,Ubisoft,0,0,0,150000,4.29,20.0,66.0,0.0,53.33
Silverfall,2007-04-04,"Action,RPG",5.5,Mediocre,Monte Cristo,Focus Home Interactive,0,0,0,35000,7.99,18.38,23.33,0.0,20.97
SiN Episodes: Emergence,2006-05-24,Shooter,8.0,Great,Ritual Entertainment,Ritual Entertainment,0,0,0,150000,7.19,3.16,4.0,5.04,3.58
Singularity,2010-06-29,Shooter,7.0,Good,Raven Software,Activision,18,148,148,150000,14.99,7.06,8.71,11.91,7.88
Sinking Island,2008-09-15,Adventure,6.5,Okay,White Birds Productions,Microids,0,0,0,35000,5.59,8.79,9.87,10.0,9.55
Sins of a Solar Empire,2008-02-15,Strategy,8.9,Great,Ironclad Games;Stardock Entertainment,Stardock Entertainment,0,145,145,350000,15.49,0.0,19.38,57.5,42.4
Sins of a Solar Empire: Entrenchment,2009-03-03,Strategy,8.7,Great,Ironclad Games;Stardock Entertainment,Stardock Entertainment,0,145,145,350000,15.49,0.0,18.0,0.0,18.0
Sins of a Solar Empire: Diplomacy,2010-02-10,Strategy,8.0,Great,Ironclad Games;Stardock Entertainment,Stardock Entertainment,0,145,145,350000,15.49,0.0,24.0,0.0,24.0
Sins of a Solar Empire: Rebellion,2012-06-13,Strategy,7.5,Good,Ironclad Games;Stardock Entertainment,Stardock Entertainment,0,507,393,3500000,30.99,10.52,50.64,179.84,28.65
"Sir, You are Being Hunted",2014-05-02,Shooter,7.7,Good,Big Robot Ltd,Big Robot Ltd,0,98,120,750000,14.99,3.99,5.39,6.46,4.24
Slender: The Arrival,2013-04-03,Adventure,6.5,Okay,Blue Isle Studios,Blue Isle Studios,0,46,46,350000,6.99,2.1,2.83,7.33,2.85
Smite,2014-04-01,Strategy,8.5,Great,Titan Forge Games,Hi-Rez Studios,0,1954,126,7500000,0.0,11.95,470.52,12776.49,214.95
Snapshot,2012-09-17,Platformer,5.0,Mediocre,Retro Affect,Retro Affect,0,89,89,350000,6.99,4.5,9.07,20.24,9.61
Sniper: Art of Victory,2008-11-14,Shooter,3.0,Awful,City Interactive,CI Games,0,113,123,1500000,5.99,2.37,2.73,2.69,2.5
Sniper: Ghost Warrior,2010-07-07,Shooter,5.0,Mediocre,City Interactive,CI Games,0,113,123,1500000,5.99,5.15,7.06,13.71,6.38
Sniper: Ghost Warrior 2,2013-03-19,Shooter,5.0,Mediocre,City Interactive,CI Games,18,234,228,1500000,6.99,5.13,7.24,11.55,5.94
Sniper Elite,2005-11-02,Action,7.5,Good,Rebellion,Rebellion,0,262,371,750000,5.59,13.0,14.84,22.07,14.37
Sniper Elite III,2014-06-26,Shooter,8.2,Great,Rebellion,Rebellion,0,321,331,1500000,22.99,9.13,14.29,30.29,11.97
SOL: Exodus,2012-01-27,Action,5.5,Mediocre,"Bit Planet Games, LLC","Bit Planet Games, LLC",0,0,0,75000,5.59,2.73,0.0,0.0,2.73
Solar 2,2011-07-14,Action,8.0,Great,Murudai,Murudai,0,229,402,350000,6.99,2.54,5.16,16.17,4.22
Soldiers: Heroes of World War II,2004-06-28,Strategy,8.5,Great,Best Way,1C Entertainment,0,0,0,150000,3.99,34.3,36.33,42.62,37.69
Soma,2015-09-21,Adventure,8.1,Great,Frictional Games,Frictional Games,0,258,347,750000,22.99,9.09,10.95,11.17,10.16
Soundodger,2013-10-15,"Music,Action",7.3,Good,Studio Bean,Adult Swim Games,0,130,130,75000,5.59,2.19,9.63,29.77,4.93
South Park: The Stick of Truth,2014-03-04,RPG,9.0,Amazing,Obsidian Entertainment,Ubisoft,0,1045,628,3500000,25.99,11.37,14.72,21.1,14.45
Space Chimps,2008-08-08,Adventure,6.7,Okay,Dani D,Dani D,0,0,0,10000,0.99,1.9,2.57,24.0,3.7
Space Colony,2003-10-20,Simulation,7.5,Good,FireFly Studios,FireFly Studios,0,404,404,150000,11.99,35.97,37.6,42.09,40.48
Space Empires V,2006-12-04,Strategy,6.6,Okay,Malfador Machinations,Strategy First,0,35,35,75000,10.99,0.0,10.7,0.0,10.7
Space Hulk,2013-08-30,Strategy,6.7,Okay,Full Control Studios,Full Control,0,87,87,350000,18.99,9.97,15.58,25.55,13.9
Space Trader: Merchant Marine,2008-12-19,Strategy,5.8,Mediocre,Meridian4,Meridian4,0,15,15,350000,3.99,6.94,7.42,13.23,8.21
Spacebase DF-9,2014-11-04,Simulation,6.8,Okay,Double Fine Productions,Double Fine Productions,0,228,228,150000,6.99,4.0,0.0,7.41,6.7
SpellForce: The Order of Dawn,2004-02-10,"Strategy,RPG",8.2,Great,Phenomic,THQ Nordic,0,2886,2886,150000,8.99,55.79,57.62,66.94,59.69
SpellForce 2: Shadow Wars,2006-05-31,Strategy,8.4,Great,Mind Over Matter Studios,THQ Nordic,0,1244,2481,350000,13.99,29.61,37.8,40.42,37.59
Spider-Man: Friend or Foe,2007-10-05,Action,4.9,Bad,Tiger Style,Tiger Style,0,0,0,35000,6.99,8.01,8.93,13.57,9.46
Spider-Man 2,2004-07-07,Action,4.5,Bad,Tiger Style,Tiger Style,0,0,0,35000,6.99,6.92,15.46,39.43,10.13
Spider-Man 3,2007-05-08,"Action,Adventure",4.7,Bad,Tiger Style,Tiger Style,0,0,0,35000,6.99,8.04,12.46,17.38,10.29
Split/Second,2010-05-25,Racing,8.5,Great,Black Rock Studio,Disney Interactive,0,143,143,75000,15.49,9.66,13.32,20.6,11.18
Spore,2008-09-04,Simulation,8.8,Great,Maxis™,Electronic Arts,0,1142,764,3500000,14.99,12.38,28.34,102.99,20.14
Sportsfriends,2014-05-15,"Action,Compilation",8.7,Great,Die Gute Fabrik,Die Gute Fabrik,0,73,73,35000,10.99,3.67,3.76,4.58,4.13
Star Trek Online,2010-02-17,RPG,6.8,Okay,Cryptic Studios,Perfect World Entertainment,0,2514,638,1500000,0.0,253.71,344.35,1006.81,500.84
Star Wars: Empire at War,2006-02-15,Strategy,7.6,Good,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,15.25,26.43,43.93,18.5
Star Wars: The Clone Wars -- Republic Heroes,2009-10-06,Action,4.8,Bad,Krome Studios,LucasArts;Lucasfilm;Disney Interactive,0,2,2,750000,15.49,6.25,9.49,12.56,7.09
Star Wars: The Force Unleashed -- Ultimate Sith Edition,2009-11-02,Action,7.5,Good,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,8.09,11.02,17.05,9.58
Star Wars: The Force Unleashed II,2010-10-27,Action,6.5,Okay,Aspyr Studios,LucasArts;Lucasfilm;Disney Interactive,0,249,365,1500000,15.49,5.2,7.04,12.15,5.85
Star Wars: The Old Republic -- Rise of the Hutt Cartel,2013-04-21,RPG,7.6,Good,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,3.5,15.38,0.0,8.3
Star Wars: The Old Republic,2013-04-21,RPG,9.0,Amazing,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,81.48,186.07,1356.5,174.12
Star Wars: The Old Republic -- Knights of the Fallen Empire,2015-12-11,RPG,6.5,Okay,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,10.15,17.2,0.0,16.08
Star Wars Battlefront,2015-11-12,Shooter,8.0,Great,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,6.29,10.01,65.58,9.23
Star Wars Battlefront II,2005-11-02,Shooter,7.0,Good,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,618,320,3500000,7.19,6.29,10.01,65.58,9.23
Star Wars Jedi Knight: Jedi Academy,2003-09-15,Shooter,8.8,Great,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,0,1254,174,1500000,7.19,10.09,11.38,13.97,10.84
Star Wars Knights of the Old Republic,2003-11-21,RPG,9.0,Amazing,BioWare;Aspyr (Mac),LucasArts;Aspyr (Mac);Disney Interactive;Lucasfilm,0,660,400,3500000,7.19,29.13,36.51,48.3,36.32
Star Wars Knights of the Old Republic II: The Sith Lords,2005-02-08,RPG,8.7,Great,"Obsidian Entertainment;Aspyr (Mac, Linux, & Windows Update)","LucasArts;Disney Interactive;Lucasfilm;Aspyr (Mac, Linux)",0,990,774,3500000,7.19,30.52,40.9,53.7,41.1
Star Wars Republic Commando,2005-02-18,Shooter,8.2,Great,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,369,265,1500000,7.19,8.77,9.89,10.15,9.12
Starbound,2016-07-28,Action,9.1,Amazing,Chucklefish,Chucklefish,0,3556,2055,3500000,11.99,24.9,58.37,166.69,52.34
Stardew Valley,2016-03-25,"RPG,Simulation",8.8,Great,ConcernedApe,ConcernedApe,0,2868,1728,3500000,10.99,53.41,94.14,169.25,96.12
StarDrive,2013-05-13,Strategy,4.5,Bad,Zero Sum Games,Iceberg Interactive,0,0,0,150000,22.99,18.02,24.0,0.0,21.01
StarDrive 2,2015-04-20,Strategy,6.9,Okay,Zero Sum Games,Iceberg Interactive,0,833,833,75000,22.99,0.0,7.83,0.0,7.83
SteamWorld Dig,2013-09-18,Platformer,9.5,Amazing,Image & Form Games,Image & Form Games,0,169,250,750000,6.99,5.04,6.68,8.36,6.09
Stellaris,2016-05-09,Strategy,6.3,Okay,Paradox Development Studio,Paradox Interactive,0,2729,1563,3500000,34.99,32.31,89.33,339.1,83.65
Still Life,2005-06-14,Adventure,7.4,Good,Microids,Microids,0,13,13,150000,5.59,8.14,9.16,10.15,8.9
Still Life 2,2009-06-17,Adventure,7.5,Good,Microids,Microids,0,0,0,150000,5.59,10.12,10.44,13.58,11.14
Storm,2013-07-13,"Puzzle,Action",4.0,Bad,Eko Software,Eko Software,0,217,217,35000,6.99,2.71,0.0,11.06,9.45
Street Fighter IV,2009-07-15,Fighting,8.9,Great,Capcom,Capcom,0,0,0,150000,13.99,2.51,17.87,93.2,10.2
Street Fighter V,2016-02-15,Fighting,8.0,Great,Capcom,Capcom,0,793,1203,750000,15.99,3.32,23.69,128.32,14.01
Strike Suit Zero,2013-01-22,Shooter,7.5,Good,Born Ready Games Ltd.,Born Ready Games,0,57,77,350000,14.99,7.52,10.69,16.63,8.78
Strong Bad's Cool Game for Attractive People -- Episode 4: Dangeresque 3,2008-11-17,Adventure,8.5,Great,Telltale Games,Telltale Games,0,0,0,150000,22.99,2.06,3.3,5.03,2.59
Stronghold 2,2005-04-30,Strategy,6.7,Okay,FireFly Studios,FireFly Studios,0,473,665,1500000,3.49,16.93,20.84,32.43,21.97
Stronghold 3,2011-11-04,Strategy,5.5,Mediocre,FireFly Studios,FireFly Studios,0,473,665,1500000,3.49,7.0,0.0,8.54,8.16
Stronghold Legends,2006-10-27,Strategy,5.7,Mediocre,FireFly Studios,FireFly Studios,0,337,519,150000,11.99,11.96,44.99,100.83,36.76
Styx: Master of Shadows,2014-10-14,Action,7.2,Good,Cyanide Studio,Focus Home Interactive,0,243,248,750000,24.99,17.02,22.51,42.01,23.03
Submerged,2015-08-07,Adventure,6.8,Okay,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,0,317,317,350000,14.99,2.37,3.34,5.27,4.05
SunAge,2008-02-12,Strategy,5.2,Mediocre,vertex4 entertainment ltd.,vertex4 entertainment ltd.,0,0,0,10000,10.99,0.0,0.0,28.89,28.89
Sunless Sea,2015-02-19,Adventure,8.3,Great,Failbetter Games,Failbetter Games,0,417,573,750000,13.99,20.25,61.22,123.14,58.61
Sunset,2015-05-21,Adventure,8.0,Great,Tale of Tales,Tale of Tales,0,0,0,10000,14.99,4.47,5.73,15.07,6.27
Super Comboman,2014-07-21,Action,6.0,Okay,Interabang Entertainment,Flashman Games,0,0,0,10000,10.99,0.0,5.7,0.0,5.7
Super House of Dead Ninjas,2013-03-26,Action,8.3,Great,Megadev,Adult Swim Games,0,564,943,150000,4.99,2.67,7.5,25.79,6.09
Super Meat Boy,2010-12-01,Platformer,9.0,Amazing,Jenito,Jenito,0,0,0,10000,3.99,9.39,18.37,45.68,14.09
Super Monday Night Combat,2012-05-24,Shooter,7.5,Good,Uber Entertainment,Uber Entertainment,0,101,101,350000,3.99,4.03,0.0,62.92,10.57
Superhot,2016-02-25,Action,7.5,Good,SUPERHOT Team,SUPERHOT Team,0,212,203,1500000,17.99,0.44,0.0,0.48,0.46
Supreme Commander,2007-02-16,Strategy,9.0,Amazing,Gas Powered Games,Square Enix,0,306,306,1500000,8.99,18.64,33.88,44.69,28.29
Supreme Commander: Forged Alliance,2007-11-09,Strategy,8.6,Great,Gas Powered Games,Square Enix,0,803,1067,1500000,8.99,18.04,21.9,38.46,20.39
Supreme Commander 2,2010-03-03,Strategy,8.4,Great,Gas Powered Games,Square Enix,0,1834,2894,1500000,8.99,14.17,23.79,48.01,20.76
Supreme League of Patriots,2015-01-31,Adventure,5.7,Mediocre,No Bull Intentions,Phoenix Online Publishing,0,0,0,35000,4.79,2.43,2.63,2.56,2.62
Surgeon Simulator 2013,2013-04-22,Simulation,7.8,Good,Bossa Studios,Bossa Studios,0,266,258,1500000,6.99,3.26,6.43,15.23,5.81
Sword of the Stars II: Lords of Winter,2011-11-21,Strategy,2.5,Painful,Kerberos Productions,Paradox Interactive,0,38,74,150000,14.99,129.0,0.0,0.0,129.0
Syberia II,2004-03-17,Adventure,8.6,Great,Microids,Microids,0,227,227,750000,9.99,7.57,9.36,9.76,8.31
Symphony,2012-08-30,Shooter,7.0,Good,Empty Clip Studios,Empty Clip Studios,0,321,321,350000,6.19,8.08,12.7,20.93,9.93
Takedown: Red Sabre,2013-10-01,Shooter,4.0,Bad,Serellan LLC,505 Games,0,80,89,350000,3.99,5.97,0.0,8.5,6.6
Tales from the Borderlands -- Episode 5 The Vault of the Traveler,2015-10-20,Adventure,9.0,Amazing,Telltale Games,Telltale Games,18,524,518,1500000,11.99,2.11,2.18,2.28,2.14
Tank Universal,2008-10-17,Action,7.0,Good,Dialogue Design,Meridian4,0,39,63,150000,3.99,8.0,0.0,13.27,10.16
Team Fortress 2,2007-10-09,Shooter,8.9,Great,Valve,Valve,0,8495,623,35000000,0.0,293.02,594.4,2616.46,594.96
Teleglitch: Die More Edition,2013-08-27,Shooter,7.8,Good,Test3 Projects,Paradox Interactive,0,117,126,750000,8.99,4.85,17.8,18.49,10.48
Terraria,2011-05-25,"Action,RPG",9.0,Amazing,Re-Logic,Re-Logic,0,5585,1840,7500000,6.99,51.97,92.28,203.73,105.56
Tesla Effect: A Tex Murphy Adventure,2014-05-07,Adventure,6.8,Okay,Big Finish Games,SEGA,0,82,82,350000,14.99,10.77,12.46,15.71,11.79
Test Drive: Ferrari Racing Legends,2012-07-03,Racing,6.5,Okay,Slightly Mad Studios,Evolved Games,3,1350,1350,10000,14.99,24.27,53.74,77.0,43.47
Tharsis,2016-01-20,Strategy,4.8,Bad,Choice Provisions,Choice Provisions,0,272,272,350000,10.99,2.25,4.67,13.52,3.6
"That Dragon, Cancer",2016-01-15,Adventure,8.0,Great,Numinous Games,Numinous Games,0,0,0,35000,6.99,1.85,2.0,2.05,1.92
The Baconing,2011-09-02,"Action,RPG",6.0,Okay,Hothead Games,Hothead Games,0,14,14,150000,9.99,9.19,10.26,13.92,10.69
The Ball,2010-10-25,"Action,Adventure",7.0,Good,Teotl Studios,Tripwire Interactive,0,14,14,350000,6.99,5.94,7.8,13.87,6.66
The Banner Saga: Factions,2013-03-14,"Strategy,RPG",7.8,Good,Stoic,Versus Evil,0,95245,190489,350000,0.0,15.0,0.0,0.0,15.0
The Banner Saga,2014-01-14,"Strategy,RPG",8.6,Great,Stoic,Versus Evil,0,164,188,750000,18.74,10.71,13.71,30.65,12.35
The Banner Saga 2,2016-04-19,"Strategy,RPG",8.9,Great,Stoic,Versus Evil,0,331,331,350000,18.74,11.37,15.17,25.8,13.58
The Beginner's Guide,2015-10-07,Adventure,8.0,Great,Everything Unlimited Ltd.,Everything Unlimited Ltd.,0,120,120,350000,6.99,1.53,1.66,1.7,1.58
The Binding of Isaac,2011-10-11,RPG,7.5,Good,Edmund McMillen and Florian Himsl,Edmund McMillen,0,1849,567,3500000,3.99,10.83,49.2,138.94,44.22
The Binding of Isaac: Rebirth,2014-11-26,RPG,9.0,Amazing,"Nicalis, Inc.","Nicalis, Inc.",16,4583,3236,3500000,10.99,5.63,96.82,371.6,123.47
The Black Mirror,2003-11-17,Adventure,7.2,Good,KING Art,THQ Nordic,0,0,0,10000,24.99,13.21,15.12,15.28,14.07
The Bureau: XCOM Declassified,2013-08-20,Shooter,5.5,Mediocre,2K Marin,2K,16,201,168,3500000,14.99,10.63,14.38,17.59,13.38
The Club,2008-02-29,Action,6.9,Okay,Bizarre Creations,SEGA,0,0,0,35000,9.99,4.42,5.62,9.23,4.88
The Crew,2014-12-02,"Racing,Action",6.0,Okay,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,0,657,725,350000,25.99,19.0,42.41,118.66,33.86
The Darkness II,2012-02-07,Shooter,8.0,Great,Digital Extremes,2K,18,191,214,1500000,19.99,6.05,8.23,14.88,7.07
The Elder Scrolls III: Bloodmoon,2003-06-16,RPG,8.9,Great,Bethesda Game Studios,Bethesda Softworks,0,1135,1183,1500000,12.99,9.37,13.99,23.31,14.06
The Elder Scrolls IV: Oblivion,2006-03-24,RPG,9.3,Amazing,Bethesda Game Studios,Bethesda Softworks,0,1307,630,1500000,12.99,27.62,84.92,184.23,79.48
The Elder Scrolls Online,2014-03-31,RPG,7.8,Good,Zenimax Online Studios,Bethesda Softworks,18,10659,3143,1500000,14.99,47.94,199.2,527.03,181.47
The Elder Scrolls V: Skyrim,2011-11-10,RPG,9.5,Amazing,Bethesda Game Studios,Bethesda Softworks,16,7089,3885,15000000,9.99,34.77,109.85,237.21,114.69
The Escapists,2015-02-13,"Action,Strategy",7.6,Good,Mouldy Toof Studios,Team17 Digital Ltd,0,826,590,1500000,12.99,19.71,43.23,43.66,28.52
The Experiment,2008-03-03,Adventure,6.8,Okay,OnSkull Games,OnSkull Games,0,3,3,10000,2.89,12.61,0.0,13.95,13.62
The First Templar,2011-05-24,"Action,Adventure",4.0,Bad,Haemimont Games,Kalypso Media Digital,0,36,36,150000,6.99,10.02,13.61,19.38,13.88
The Flame in the Flood,2016-03-03,Adventure,7.3,Good,The Molasses Flood,The Molasses Flood;Curve Digital,0,125,125,750000,14.99,8.64,13.62,49.91,11.23
The Godfather,2006-03-21,"Action,Adventure",7.9,Good,Mikeypoo's Games;David Szymanski,Plug In Digital,0,0,0,35000,0.0,13.87,22.04,31.42,21.84
